,year,mes,Día,1.Dólar observado
0,2010,1,1,
1,2010,1,2,
2,2010,1,3,
3,2010,1,4,507.1
4,2010,1,5,505.7
5,2010,1,6,504.22
6,2010,1,7,497.93
7,2010,1,8,494.54
8,2010,1,9,
9,2010,1,10,
10,2010,1,11,492.37
11,2010,1,12,489.47
12,2010,1,13,491.16
13,2010,1,14,490.01
14,2010,1,15,493.0
15,2010,1,16,
16,2010,1,17,
17,2010,1,18,492.9
18,2010,1,19,490.89
19,2010,1,20,492.21
20,2010,1,21,495.2
21,2010,1,22,498.75
22,2010,1,23,
23,2010,1,24,
24,2010,1,25,506.36
25,2010,1,26,506.88
26,2010,1,27,512.12
27,2010,1,28,520.69
28,2010,1,29,531.75
29,2010,1,30,
30,2010,1,31,
31,2010,2,1,523.1
32,2010,2,2,528.48
33,2010,2,3,528.58
34,2010,2,4,535.51
35,2010,2,5,546.18
36,2010,2,6,
37,2010,2,7,
38,2010,2,8,543.35
39,2010,2,9,541.39
40,2010,2,10,541.23
41,2010,2,11,535.63
42,2010,2,12,533.55
43,2010,2,13,
44,2010,2,14,
45,2010,2,15,529.6
46,2010,2,16,525.48
47,2010,2,17,527.58
48,2010,2,18,527.81
49,2010,2,19,532.39
50,2010,2,20,
51,2010,2,21,
52,2010,2,22,533.21
53,2010,2,23,529.19
54,2010,2,24,528.52
55,2010,2,25,530.67
56,2010,2,26,529.69
57,2010,2,27,
58,2010,2,28,
59,2010,3,1,527.84
60,2010,3,2,524.94
61,2010,3,3,521.49
62,2010,3,4,515.81
63,2010,3,5,515.04
64,2010,3,6,
65,2010,3,7,
66,2010,3,8,511.23
67,2010,3,9,508.66
68,2010,3,10,512.79
69,2010,3,11,515.17
70,2010,3,12,520.81
71,2010,3,13,
72,2010,3,14,
73,2010,3,15,516.33
74,2010,3,16,516.45
75,2010,3,17,521.87
76,2010,3,18,526.89
77,2010,3,19,525.95
78,2010,3,20,
79,2010,3,21,
80,2010,3,22,527.78
81,2010,3,23,533.24
82,2010,3,24,533.87
83,2010,3,25,532.69
84,2010,3,26,532.33
85,2010,3,27,
86,2010,3,28,
87,2010,3,29,533.06
88,2010,3,30,532.21
89,2010,3,31,526.29
90,2010,4,1,524.46
91,2010,4,2,
92,2010,4,3,
93,2010,4,4,
94,2010,4,5,521.95
95,2010,4,6,519.51
96,2010,4,7,519.99
97,2010,4,8,517.46
98,2010,4,9,517.07
99,2010,4,10,
100,2010,4,11,
101,2010,4,12,514.91
102,2010,4,13,515.1
103,2010,4,14,515.35
104,2010,4,15,516.34
105,2010,4,16,521.01
106,2010,4,17,
107,2010,4,18,
108,2010,4,19,522.82
109,2010,4,20,525.13
110,2010,4,21,527.38
111,2010,4,22,523.94
112,2010,4,23,521.42
113,2010,4,24,
114,2010,4,25,
115,2010,4,26,521.25
116,2010,4,27,519.52
117,2010,4,28,522.65
118,2010,4,29,524.86
119,2010,4,30,520.99
120,2010,5,1,
121,2010,5,2,
122,2010,5,3,517.23
123,2010,5,4,518.44
124,2010,5,5,522.73
125,2010,5,6,527.6
126,2010,5,7,527.59
127,2010,5,8,
128,2010,5,9,
129,2010,5,10,532.99
130,2010,5,11,527.94
131,2010,5,12,529.96
132,2010,5,13,529.35
133,2010,5,14,532.23
134,2010,5,15,
135,2010,5,16,
136,2010,5,17,534.33
137,2010,5,18,538.6
138,2010,5,19,542.68
139,2010,5,20,549.17
140,2010,5,21,
141,2010,5,22,
142,2010,5,23,
143,2010,5,24,548.18
144,2010,5,25,539.93
145,2010,5,26,544.59
146,2010,5,27,539.35
147,2010,5,28,532.01
148,2010,5,29,
149,2010,5,30,
150,2010,5,31,529.23
151,2010,6,1,530.62
152,2010,6,2,533.1
153,2010,6,3,534.72
154,2010,6,4,535.25
155,2010,6,5,
156,2010,6,6,
157,2010,6,7,540.98
158,2010,6,8,545.32
159,2010,6,9,548.16
160,2010,6,10,542.45
161,2010,6,11,537.81
162,2010,6,12,
163,2010,6,13,
164,2010,6,14,537.57
165,2010,6,15,535.01
166,2010,6,16,536.15
167,2010,6,17,530.42
168,2010,6,18,530.36
169,2010,6,19,
170,2010,6,20,
171,2010,6,21,532.74
172,2010,6,22,530.32
173,2010,6,23,532.85
174,2010,6,24,535.56
175,2010,6,25,539.68
176,2010,6,26,
177,2010,6,27,
178,2010,6,28,
179,2010,6,29,537.87
180,2010,6,30,543.09
181,2010,7,1,547.19
182,2010,7,2,545.31
183,2010,7,3,
184,2010,7,4,
185,2010,7,5,538.36
186,2010,7,6,537.5
187,2010,7,7,535.88
188,2010,7,8,536.79
189,2010,7,9,536.31
190,2010,7,10,
191,2010,7,11,
192,2010,7,12,538.31
193,2010,7,13,539.02
194,2010,7,14,535.4
195,2010,7,15,534.98
196,2010,7,16,
197,2010,7,17,
198,2010,7,18,
199,2010,7,19,531.51
200,2010,7,20,532.23
201,2010,7,21,530.27
202,2010,7,22,524.62
203,2010,7,23,518.36
204,2010,7,24,
205,2010,7,25,
206,2010,7,26,520.09
207,2010,7,27,519.75
208,2010,7,28,519.19
209,2010,7,29,522.72
210,2010,7,30,522.36
211,2010,7,31,
212,2010,8,1,
