,year,mes,Día,1.Dólar observado
0,2000,1,1,
1,2000,1,2,
2,2000,1,3,530.07
3,2000,1,4,527.28
4,2000,1,5,529.08
5,2000,1,6,530.67
6,2000,1,7,527.76
7,2000,1,8,
8,2000,1,9,
9,2000,1,10,523.51
10,2000,1,11,521.66
11,2000,1,12,519.79
12,2000,1,13,521.46
13,2000,1,14,517.08
14,2000,1,15,
15,2000,1,16,
16,2000,1,17,515.75
17,2000,1,18,516.56
18,2000,1,19,513.07
19,2000,1,20,516.07
20,2000,1,21,517.96
21,2000,1,22,
22,2000,1,23,
23,2000,1,24,518.29
24,2000,1,25,515.67
25,2000,1,26,515.62
26,2000,1,27,516.55
27,2000,1,28,517.61
28,2000,1,29,
29,2000,1,30,
30,2000,1,31,517.89
31,2000,2,1,517.79
32,2000,2,2,518.58
33,2000,2,3,517.26
34,2000,2,4,514.06
35,2000,2,5,
36,2000,2,6,
37,2000,2,7,515.01
38,2000,2,8,514.49
39,2000,2,9,514.73
40,2000,2,10,514.5
41,2000,2,11,515.72
42,2000,2,12,
43,2000,2,13,
44,2000,2,14,515.43
45,2000,2,15,514.8
46,2000,2,16,514.38
47,2000,2,17,513.08
48,2000,2,18,511.64
49,2000,2,19,
50,2000,2,20,
51,2000,2,21,511.7
52,2000,2,22,511.31
53,2000,2,23,509.28
54,2000,2,24,508.12
55,2000,2,25,506.69
56,2000,2,26,
57,2000,2,27,
58,2000,2,28,507.32
59,2000,2,29,503.98
60,2000,3,1,501.36
61,2000,3,2,503.15
62,2000,3,3,502.83
63,2000,3,4,
64,2000,3,5,
65,2000,3,6,503.61
66,2000,3,7,503.13
67,2000,3,8,505.33
68,2000,3,9,507.33
69,2000,3,10,505.63
70,2000,3,11,
71,2000,3,12,
72,2000,3,13,507.75
73,2000,3,14,507.65
74,2000,3,15,505.75
75,2000,3,16,506.78
76,2000,3,17,505.86
77,2000,3,18,
78,2000,3,19,
79,2000,3,20,506.29
80,2000,3,21,506.39
81,2000,3,22,505.35
82,2000,3,23,503.98
83,2000,3,24,502.97
84,2000,3,25,
85,2000,3,26,
86,2000,3,27,502.26
87,2000,3,28,502.78
88,2000,3,29,502.12
89,2000,3,30,501.04
90,2000,3,31,501.41
91,2000,4,1,
92,2000,4,2,
93,2000,4,3,502.22
94,2000,4,4,503.96
95,2000,4,5,503.0
96,2000,4,6,505.08
97,2000,4,7,505.62
98,2000,4,8,
99,2000,4,9,
100,2000,4,10,505.2
101,2000,4,11,505.39
102,2000,4,12,505.71
103,2000,4,13,505.34
104,2000,4,14,505.63
105,2000,4,15,
106,2000,4,16,
107,2000,4,17,508.41
108,2000,4,18,513.21
109,2000,4,19,511.33
110,2000,4,20,507.83
111,2000,4,21,
112,2000,4,22,
113,2000,4,23,
114,2000,4,24,510.4
115,2000,4,25,513.1
116,2000,4,26,512.89
117,2000,4,27,513.96
118,2000,4,28,515.61
119,2000,4,29,
120,2000,4,30,
121,2000,5,1,
122,2000,5,2,515.35
123,2000,5,3,514.46
124,2000,5,4,515.71
125,2000,5,5,517.59
126,2000,5,6,
127,2000,5,7,
128,2000,5,8,518.81
129,2000,5,9,522.35
130,2000,5,10,523.89
131,2000,5,11,526.08
132,2000,5,12,523.65
133,2000,5,13,
134,2000,5,14,
135,2000,5,15,520.25
136,2000,5,16,521.6
137,2000,5,17,516.58
138,2000,5,18,519.89
139,2000,5,19,520.81
140,2000,5,20,
141,2000,5,21,
142,2000,5,22,523.64
143,2000,5,23,525.42
144,2000,5,24,524.26
145,2000,5,25,525.73
146,2000,5,26,525.19
147,2000,5,27,
148,2000,5,28,
149,2000,5,29,525.43
150,2000,5,30,525.13
151,2000,5,31,524.77
152,2000,6,1,524.0
153,2000,6,2,522.9
154,2000,6,3,
155,2000,6,4,
156,2000,6,5,520.03
157,2000,6,6,520.47
158,2000,6,7,522.92
159,2000,6,8,524.42
160,2000,6,9,525.68
161,2000,6,10,
162,2000,6,11,
163,2000,6,12,528.31
164,2000,6,13,530.17
165,2000,6,14,532.29
166,2000,6,15,530.55
167,2000,6,16,531.99
168,2000,6,17,
169,2000,6,18,
170,2000,6,19,
171,2000,6,20,533.03
172,2000,6,21,531.49
173,2000,6,22,532.95
174,2000,6,23,534.31
175,2000,6,24,
176,2000,6,25,
177,2000,6,26,
178,2000,6,27,537.38
179,2000,6,28,537.28
180,2000,6,29,535.97
181,2000,6,30,538.61
182,2000,7,1,
183,2000,7,2,
184,2000,7,3,538.62
185,2000,7,4,537.46
186,2000,7,5,533.42
187,2000,7,6,535.57
188,2000,7,7,537.63
189,2000,7,8,
190,2000,7,9,
191,2000,7,10,535.99
192,2000,7,11,535.56
193,2000,7,12,534.91
194,2000,7,13,536.67
195,2000,7,14,539.93
196,2000,7,15,
197,2000,7,16,
198,2000,7,17,542.73
199,2000,7,18,542.63
200,2000,7,19,544.56
201,2000,7,20,547.36
202,2000,7,21,545.44
203,2000,7,22,
204,2000,7,23,
205,2000,7,24,545.52
206,2000,7,25,547.82
207,2000,7,26,550.97
208,2000,7,27,554.02
209,2000,7,28,554.46
210,2000,7,29,
211,2000,7,30,
212,2000,7,31,556.38
213,2000,8,1,557.42
214,2000,8,2,554.71
215,2000,8,3,550.74
216,2000,8,4,551.61
217,2000,8,5,
218,2000,8,6,
219,2000,8,7,554.53
220,2000,8,8,555.49
221,2000,8,9,553.37
222,2000,8,10,552.86
223,2000,8,11,552.62
224,2000,8,12,
225,2000,8,13,
226,2000,8,14,550.02
227,2000,8,15,
228,2000,8,16,545.28
229,2000,8,17,544.52
230,2000,8,18,546.41
231,2000,8,19,
232,2000,8,20,
233,2000,8,21,547.89
234,2000,8,22,550.54
235,2000,8,23,547.21
236,2000,8,24,545.85
237,2000,8,25,546.58
238,2000,8,26,
239,2000,8,27,
240,2000,8,28,547.59
241,2000,8,29,545.94
242,2000,8,30,558.26
243,2000,8,31,562.44
244,2000,9,1,563.02
245,2000,9,2,
246,2000,9,3,
247,2000,9,4,
248,2000,9,5,562.77
249,2000,9,6,568.15
250,2000,9,7,568.88
251,2000,9,8,569.53
252,2000,9,9,
253,2000,9,10,
254,2000,9,11,567.51
255,2000,9,12,566.48
256,2000,9,13,565.33
257,2000,9,14,565.65
258,2000,9,15,561.36
259,2000,9,16,
260,2000,9,17,
261,2000,9,18,
262,2000,9,19,
263,2000,9,20,562.22
264,2000,9,21,569.17
265,2000,9,22,568.41
266,2000,9,23,
267,2000,9,24,
268,2000,9,25,567.54
269,2000,9,26,562.32
270,2000,9,27,564.97
271,2000,9,28,567.43
272,2000,9,29,565.37
273,2000,9,30,
274,2000,10,1,
275,2000,10,2,563.49
276,2000,10,3,562.48
277,2000,10,4,560.85
278,2000,10,5,560.39
279,2000,10,6,558.45
280,2000,10,7,
281,2000,10,8,
282,2000,10,9,
283,2000,10,10,560.27
284,2000,10,11,563.51
285,2000,10,12,565.74
286,2000,10,13,566.94
287,2000,10,14,
288,2000,10,15,
289,2000,10,16,568.67
290,2000,10,17,566.79
291,2000,10,18,567.72
292,2000,10,19,571.85
293,2000,10,20,569.26
294,2000,10,21,
295,2000,10,22,
296,2000,10,23,571.41
297,2000,10,24,572.32
298,2000,10,25,573.59
299,2000,10,26,576.22
300,2000,10,27,577.41
301,2000,10,28,
302,2000,10,29,
303,2000,10,30,575.37
304,2000,10,31,571.94
305,2000,11,1,
306,2000,11,2,569.41
307,2000,11,3,571.8
308,2000,11,4,
309,2000,11,5,
310,2000,11,6,573.62
311,2000,11,7,572.34
312,2000,11,8,576.58
313,2000,11,9,574.32
314,2000,11,10,577.16
315,2000,11,11,
316,2000,11,12,
317,2000,11,13,575.27
318,2000,11,14,575.08
319,2000,11,15,572.48
320,2000,11,16,572.78
321,2000,11,17,571.45
322,2000,11,18,
323,2000,11,19,
324,2000,11,20,573.59
325,2000,11,21,574.56
326,2000,11,22,573.59
327,2000,11,23,574.74
328,2000,11,24,575.58
329,2000,11,25,
330,2000,11,26,
331,2000,11,27,576.1
332,2000,11,28,576.43
333,2000,11,29,579.29
334,2000,11,30,580.37
335,2000,12,1,578.59
336,2000,12,2,
337,2000,12,3,
338,2000,12,4,577.62
339,2000,12,5,576.56
340,2000,12,6,575.59
341,2000,12,7,573.77
342,2000,12,8,
343,2000,12,9,
344,2000,12,10,
345,2000,12,11,577.15
346,2000,12,12,576.93
347,2000,12,13,576.15
348,2000,12,14,574.87
349,2000,12,15,574.86
350,2000,12,16,
351,2000,12,17,
352,2000,12,18,573.5
353,2000,12,19,572.71
354,2000,12,20,570.85
355,2000,12,21,571.85
356,2000,12,22,573.39
357,2000,12,23,
358,2000,12,24,
359,2000,12,25,
360,2000,12,26,573.0
361,2000,12,27,573.55
362,2000,12,28,574.32
363,2000,12,29,572.68
364,2000,12,30,
365,2000,12,31,
