,year,mes,Día,1.Dólar observado
1826,2015,1,1,
1827,2015,1,2,606.75
1828,2015,1,3,
1829,2015,1,4,
1830,2015,1,5,612.47
1831,2015,1,6,616.76
1832,2015,1,7,616.09
1833,2015,1,8,614.76
1834,2015,1,9,613.08
1835,2015,1,10,
1836,2015,1,11,
1837,2015,1,12,614.03
1838,2015,1,13,616.52
1839,2015,1,14,617.53
1840,2015,1,15,625.38
1841,2015,1,16,623.67
1842,2015,1,17,
1843,2015,1,18,
1844,2015,1,19,627.01
1845,2015,1,20,629.09
1846,2015,1,21,627.23
1847,2015,1,22,628.44
1848,2015,1,23,625.95
1849,2015,1,24,
1850,2015,1,25,
1851,2015,1,26,626.38
1852,2015,1,27,625.67
1853,2015,1,28,623.37
1854,2015,1,29,622.44
1855,2015,1,30,626.48
1856,2015,1,31,
1857,2015,2,1,
1858,2015,2,2,632.03
1859,2015,2,3,632.19
1860,2015,2,4,626.97
1861,2015,2,5,627.09
1862,2015,2,6,624.8
1863,2015,2,7,
1864,2015,2,8,
1865,2015,2,9,623.21
1866,2015,2,10,626.04
1867,2015,2,11,626.44
1868,2015,2,12,628.22
1869,2015,2,13,626.92
1870,2015,2,14,
1871,2015,2,15,
1872,2015,2,16,620.18
1873,2015,2,17,619.72
1874,2015,2,18,619.72
1875,2015,2,19,620.4
1876,2015,2,20,620.33
1877,2015,2,21,
1878,2015,2,22,
1879,2015,2,23,616.86
1880,2015,2,24,621.18
1881,2015,2,25,622.88
1882,2015,2,26,619.5
1883,2015,2,27,617.67
1884,2015,2,28,
1885,2015,3,1,
1886,2015,3,2,618.76
1887,2015,3,3,617.38
1888,2015,3,4,617.6
1889,2015,3,5,619.78
1890,2015,3,6,619.61
1891,2015,3,7,
1892,2015,3,8,
1893,2015,3,9,624.68
1894,2015,3,10,628.47
1895,2015,3,11,633.03
1896,2015,3,12,637.59
1897,2015,3,13,633.54
1898,2015,3,14,
1899,2015,3,15,
1900,2015,3,16,639.02
1901,2015,3,17,639.37
1902,2015,3,18,640.84
1903,2015,3,19,642.18
1904,2015,3,20,638.82
1905,2015,3,21,
1906,2015,3,22,
1907,2015,3,23,635.62
1908,2015,3,24,627.0
1909,2015,3,25,623.65
1910,2015,3,26,619.79
1911,2015,3,27,620.68
1912,2015,3,28,
1913,2015,3,29,
1914,2015,3,30,622.79
1915,2015,3,31,626.87
1916,2015,4,1,626.58
1917,2015,4,2,618.22
1918,2015,4,3,
1919,2015,4,4,
1920,2015,4,5,
1921,2015,4,6,614.77
1922,2015,4,7,610.74
1923,2015,4,8,611.01
1924,2015,4,9,611.05
1925,2015,4,10,613.91
1926,2015,4,11,
1927,2015,4,12,
1928,2015,4,13,619.42
1929,2015,4,14,621.1
