,year,mes,Día,1.Dólar observado
366,2021,1,1,
367,2021,1,2,
368,2021,1,3,
369,2021,1,4,710.95
370,2021,1,5,702.93
371,2021,1,6,702.29
372,2021,1,7,696.18
373,2021,1,8,709.99
374,2021,1,9,
375,2021,1,10,
376,2021,1,11,713.28
377,2021,1,12,718.89
378,2021,1,13,725.24
379,2021,1,14,739.72
380,2021,1,15,735.35
381,2021,1,16,
382,2021,1,17,
383,2021,1,18,735.06
384,2021,1,19,736.11
385,2021,1,20,733.73
386,2021,1,21,730.38
387,2021,1,22,715.56
388,2021,1,23,
389,2021,1,24,
390,2021,1,25,724.26
391,2021,1,26,731.92
392,2021,1,27,731.0
393,2021,1,28,736.88
394,2021,1,29,741.4
395,2021,1,30,
396,2021,1,31,
397,2021,2,1,734.62
398,2021,2,2,731.66
399,2021,2,3,734.86
400,2021,2,4,730.53
401,2021,2,5,737.23
402,2021,2,6,
403,2021,2,7,
404,2021,2,8,736.65
405,2021,2,9,735.07
406,2021,2,10,733.13
407,2021,2,11,728.9
408,2021,2,12,722.52
409,2021,2,13,
410,2021,2,14,
411,2021,2,15,724.39
412,2021,2,16,718.45
413,2021,2,17,717.38
414,2021,2,18,719.78
415,2021,2,19,712.14
416,2021,2,20,
417,2021,2,21,
418,2021,2,22,707.12
419,2021,2,23,709.65
420,2021,2,24,706.76
421,2021,2,25,703.65
422,2021,2,26,708.04
423,2021,2,27,
424,2021,2,28,
425,2021,3,1,719.91
426,2021,3,2,721.2
427,2021,3,3,726.74
428,2021,3,4,731.3
429,2021,3,5,729.15
430,2021,3,6,
431,2021,3,7,
432,2021,3,8,733.11
433,2021,3,9,738.46
434,2021,3,10,733.42
435,2021,3,11,728.89
436,2021,3,12,718.4
437,2021,3,13,
438,2021,3,14,
439,2021,3,15,718.37
440,2021,3,16,721.49
441,2021,3,17,723.47
442,2021,3,18,730.93
443,2021,3,19,724.59
444,2021,3,20,
445,2021,3,21,
446,2021,3,22,717.96
447,2021,3,23,716.46
448,2021,3,24,720.62
449,2021,3,25,723.35
450,2021,3,26,730.82
451,2021,3,27,
452,2021,3,28,
453,2021,3,29,729.5
454,2021,3,30,736.17
455,2021,3,31,732.11
456,2021,4,1,721.82
457,2021,4,2,
458,2021,4,3,
459,2021,4,4,
460,2021,4,5,717.12
461,2021,4,6,717.9
462,2021,4,7,718.17
463,2021,4,8,714.21
464,2021,4,9,708.09
465,2021,4,10,
466,2021,4,11,
467,2021,4,12,711.23
468,2021,4,13,709.51
469,2021,4,14,708.71
470,2021,4,15,707.25
471,2021,4,16,701.98
472,2021,4,17,
473,2021,4,18,
474,2021,4,19,701.55
475,2021,4,20,700.96
476,2021,4,21,697.19
477,2021,4,22,696.8
478,2021,4,23,705.41
479,2021,4,24,
480,2021,4,25,
481,2021,4,26,712.54
482,2021,4,27,707.05
483,2021,4,28,702.02
484,2021,4,29,700.15
485,2021,4,30,705.09
486,2021,5,1,
487,2021,5,2,
488,2021,5,3,711.06
489,2021,5,4,706.29
490,2021,5,5,705.25
491,2021,5,6,703.09
492,2021,5,7,701.27
493,2021,5,8,
494,2021,5,9,
495,2021,5,10,694.47
496,2021,5,11,693.74
497,2021,5,12,700.04
498,2021,5,13,707.19
499,2021,5,14,708.64
500,2021,5,15,
501,2021,5,16,
502,2021,5,17,703.17
503,2021,5,18,715.62
504,2021,5,19,713.63
505,2021,5,20,715.31
506,2021,5,21,
507,2021,5,22,
508,2021,5,23,
509,2021,5,24,716.41
510,2021,5,25,727.09
511,2021,5,26,734.75
512,2021,5,27,732.82
513,2021,5,28,730.43
514,2021,5,29,
515,2021,5,30,
516,2021,5,31,724.92
517,2021,6,1,722.11
518,2021,6,2,721.52
519,2021,6,3,720.44
520,2021,6,4,719.93
521,2021,6,5,
522,2021,6,6,
523,2021,6,7,717.12
524,2021,6,8,716.06
525,2021,6,9,717.82
526,2021,6,10,718.98
527,2021,6,11,720.77
528,2021,6,12,
529,2021,6,13,
530,2021,6,14,720.28
531,2021,6,15,719.17
532,2021,6,16,725.11
533,2021,6,17,726.62
534,2021,6,18,735.69
535,2021,6,19,
536,2021,6,20,
537,2021,6,21,
538,2021,6,22,746.17
539,2021,6,23,749.34
540,2021,6,24,735.13
541,2021,6,25,731.1
542,2021,6,26,
543,2021,6,27,
544,2021,6,28,
545,2021,6,29,732.25
546,2021,6,30,735.28
547,2021,7,1,727.76
548,2021,7,2,737.79
549,2021,7,3,
550,2021,7,4,
551,2021,7,5,735.06
552,2021,7,6,734.66
553,2021,7,7,743.25
554,2021,7,8,751.36
555,2021,7,9,753.67
556,2021,7,10,
557,2021,7,11,
558,2021,7,12,748.7
559,2021,7,13,744.1
560,2021,7,14,746.56
561,2021,7,15,747.93
562,2021,7,16,
563,2021,7,17,
564,2021,7,18,
565,2021,7,19,754.17
566,2021,7,20,759.71
567,2021,7,21,758.85
568,2021,7,22,755.37
569,2021,7,23,750.81
570,2021,7,24,
571,2021,7,25,
572,2021,7,26,758.44
573,2021,7,27,764.21
574,2021,7,28,761.03
575,2021,7,29,767.29
576,2021,7,30,758.53
577,2021,7,31,
578,2021,8,1,
579,2021,8,2,760.2
580,2021,8,3,761.39
581,2021,8,4,774.54
582,2021,8,5,775.54
583,2021,8,6,776.69
584,2021,8,7,
585,2021,8,8,
586,2021,8,9,784.5
587,2021,8,10,787.4
588,2021,8,11,780.08
589,2021,8,12,773.01
590,2021,8,13,772.78
591,2021,8,14,
592,2021,8,15,
593,2021,8,16,774.25
594,2021,8,17,784.18
595,2021,8,18,789.62
596,2021,8,19,787.71
597,2021,8,20,789.98
598,2021,8,21,
599,2021,8,22,
600,2021,8,23,786.43
601,2021,8,24,783.3
602,2021,8,25,782.17
603,2021,8,26,783.03
604,2021,8,27,785.06
605,2021,8,28,
606,2021,8,29,
607,2021,8,30,784.39
608,2021,8,31,779.97
609,2021,9,1,775.14
610,2021,9,2,767.1
611,2021,9,3,768.36
612,2021,9,4,
613,2021,9,5,
614,2021,9,6,766.53
615,2021,9,7,770.33
616,2021,9,8,777.94
617,2021,9,9,787.51
618,2021,9,10,791.28
619,2021,9,11,
620,2021,9,12,
621,2021,9,13,789.91
622,2021,9,14,784.26
623,2021,9,15,783.25
624,2021,9,16,781.85
625,2021,9,17,
626,2021,9,18,
627,2021,9,19,
628,2021,9,20,780.59
629,2021,9,21,788.05
630,2021,9,22,785.1
631,2021,9,23,785.03
632,2021,9,24,787.24
633,2021,9,25,
634,2021,9,26,
635,2021,9,27,788.98
636,2021,9,28,795.48
637,2021,9,29,798.63
638,2021,9,30,803.59
639,2021,10,1,811.9
640,2021,10,2,
641,2021,10,3,
642,2021,10,4,803.9
643,2021,10,5,805.89
644,2021,10,6,810.63
645,2021,10,7,816.28
646,2021,10,8,813.62
647,2021,10,9,
648,2021,10,10,
649,2021,10,11,
650,2021,10,12,820.18
651,2021,10,13,827.56
652,2021,10,14,820.19
653,2021,10,15,816.81
654,2021,10,16,
655,2021,10,17,
656,2021,10,18,826.19
657,2021,10,19,820.29
658,2021,10,20,813.33
659,2021,10,21,811.55
660,2021,10,22,817.61
661,2021,10,23,
662,2021,10,24,
663,2021,10,25,816.58
664,2021,10,26,810.16
665,2021,10,27,806.55
666,2021,10,28,804.32
667,2021,10,29,805.47
668,2021,10,30,
669,2021,10,31,
670,2021,11,1,
671,2021,11,2,810.91
672,2021,11,3,814.42
673,2021,11,4,815.52
674,2021,11,5,815.58
675,2021,11,6,
676,2021,11,7,
677,2021,11,8,812.4
678,2021,11,9,806.61
679,2021,11,10,797.78
680,2021,11,11,791.71
681,2021,11,12,791.3
682,2021,11,13,
683,2021,11,14,
684,2021,11,15,797.8
685,2021,11,16,801.96
686,2021,11,17,806.24
687,2021,11,18,819.56
688,2021,11,19,834.57
689,2021,11,20,
690,2021,11,21,
691,2021,11,22,832.72
692,2021,11,23,808.14
693,2021,11,24,809.94
694,2021,11,25,811.7
695,2021,11,26,819.59
696,2021,11,27,
697,2021,11,28,
698,2021,11,29,829.94
699,2021,11,30,836.73
700,2021,12,1,837.55
701,2021,12,2,828.17
702,2021,12,3,837.72
703,2021,12,4,
704,2021,12,5,
705,2021,12,6,837.69
706,2021,12,7,842.32
707,2021,12,8,
708,2021,12,9,839.53
709,2021,12,10,841.32
710,2021,12,11,
711,2021,12,12,
712,2021,12,13,849.16
713,2021,12,14,843.43
714,2021,12,15,846.43
715,2021,12,16,848.52
716,2021,12,17,849.65
717,2021,12,18,
718,2021,12,19,
719,2021,12,20,846.64
720,2021,12,21,863.21
721,2021,12,22,868.76
722,2021,12,23,866.25
723,2021,12,24,857.14
724,2021,12,25,
725,2021,12,26,
726,2021,12,27,863.29
727,2021,12,28,858.59
728,2021,12,29,855.94
729,2021,12,30,850.25
730,2021,12,31,
