,year,mes,Día,1.Dólar observado
731,2002,1,1,
732,2002,1,2,654.79
733,2002,1,3,658.31
734,2002,1,4,648.69
735,2002,1,5,
736,2002,1,6,
737,2002,1,7,650.28
738,2002,1,8,654.63
739,2002,1,9,657.3
740,2002,1,10,667.71
741,2002,1,11,676.2
742,2002,1,12,
743,2002,1,13,
744,2002,1,14,683.11
745,2002,1,15,674.04
746,2002,1,16,663.97
747,2002,1,17,672.68
748,2002,1,18,666.76
749,2002,1,19,
750,2002,1,20,
751,2002,1,21,670.23
752,2002,1,22,670.37
753,2002,1,23,668.01
754,2002,1,24,668.46
755,2002,1,25,672.47
756,2002,1,26,
757,2002,1,27,
758,2002,1,28,671.31
759,2002,1,29,674.36
760,2002,1,30,678.33
761,2002,1,31,678.19
762,2002,2,1,676.23
763,2002,2,2,
764,2002,2,3,
765,2002,2,4,677.76
766,2002,2,5,684.38
767,2002,2,6,687.3
768,2002,2,7,687.29
769,2002,2,8,688.98
770,2002,2,9,
771,2002,2,10,
772,2002,2,11,686.25
773,2002,2,12,685.14
774,2002,2,13,681.05
775,2002,2,14,675.16
776,2002,2,15,675.78
777,2002,2,16,
778,2002,2,17,
779,2002,2,18,677.91
780,2002,2,19,675.76
781,2002,2,20,672.81
782,2002,2,21,671.86
783,2002,2,22,674.64
784,2002,2,23,
785,2002,2,24,
786,2002,2,25,675.39
787,2002,2,26,675.04
788,2002,2,27,672.67
789,2002,2,28,675.3
790,2002,3,1,672.3
791,2002,3,2,
792,2002,3,3,
793,2002,3,4,670.67
794,2002,3,5,666.64
795,2002,3,6,665.84
796,2002,3,7,668.29
797,2002,3,8,666.71
798,2002,3,9,
799,2002,3,10,
800,2002,3,11,661.85
801,2002,3,12,661.38
802,2002,3,13,662.59
803,2002,3,14,659.55
804,2002,3,15,655.44
805,2002,3,16,
806,2002,3,17,
807,2002,3,18,656.69
808,2002,3,19,656.15
809,2002,3,20,656.76
810,2002,3,21,657.47
811,2002,3,22,660.54
812,2002,3,23,
813,2002,3,24,
814,2002,3,25,665.5
815,2002,3,26,670.53
816,2002,3,27,665.94
817,2002,3,28,664.44
818,2002,3,29,
819,2002,3,30,
820,2002,3,31,
821,2002,4,1,655.9
822,2002,4,2,657.29
823,2002,4,3,656.28
824,2002,4,4,658.23
825,2002,4,5,662.78
826,2002,4,6,
827,2002,4,7,
828,2002,4,8,652.74
829,2002,4,9,648.07
830,2002,4,10,647.04
831,2002,4,11,641.75
832,2002,4,12,643.83
833,2002,4,13,
834,2002,4,14,
835,2002,4,15,645.72
836,2002,4,16,646.88
837,2002,4,17,646.35
838,2002,4,18,644.29
839,2002,4,19,649.1
840,2002,4,20,
841,2002,4,21,
842,2002,4,22,647.42
843,2002,4,23,652.22
844,2002,4,24,
845,2002,4,25,653.82
846,2002,4,26,656.5
847,2002,4,27,
848,2002,4,28,
849,2002,4,29,651.94
850,2002,4,30,649.09
851,2002,5,1,
852,2002,5,2,646.44
853,2002,5,3,650.4
854,2002,5,4,
855,2002,5,5,
856,2002,5,6,653.34
857,2002,5,7,655.52
858,2002,5,8,654.96
859,2002,5,9,653.53
860,2002,5,10,656.67
861,2002,5,11,
862,2002,5,12,
863,2002,5,13,659.14
864,2002,5,14,655.32
865,2002,5,15,655.62
866,2002,5,16,652.56
867,2002,5,17,650.31
868,2002,5,18,
869,2002,5,19,
870,2002,5,20,651.68
871,2002,5,21,
872,2002,5,22,651.82
873,2002,5,23,654.49
874,2002,5,24,655.6
875,2002,5,25,
876,2002,5,26,
877,2002,5,27,
878,2002,5,28,655.7
879,2002,5,29,656.39
880,2002,5,30,654.2
881,2002,5,31,654.44
882,2002,6,1,
883,2002,6,2,
884,2002,6,3,655.9
885,2002,6,4,657.39
886,2002,6,5,660.74
887,2002,6,6,661.58
888,2002,6,7,662.21
889,2002,6,8,
890,2002,6,9,
891,2002,6,10,663.15
892,2002,6,11,661.29
893,2002,6,12,663.2
894,2002,6,13,666.93
895,2002,6,14,666.17
896,2002,6,15,
897,2002,6,16,
898,2002,6,17,668.42
899,2002,6,18,667.32
900,2002,6,19,668.56
901,2002,6,20,674.96
902,2002,6,21,685.03
903,2002,6,22,
904,2002,6,23,
905,2002,6,24,693.77
906,2002,6,25,702.17
907,2002,6,26,694.63
908,2002,6,27,704.28
909,2002,6,28,697.62
910,2002,6,29,
911,2002,6,30,
912,2002,7,1,688.05
913,2002,7,2,690.3
914,2002,7,3,698.67
915,2002,7,4,697.13
916,2002,7,5,691.5
917,2002,7,6,
918,2002,7,7,
919,2002,7,8,694.6
920,2002,7,9,697.26
921,2002,7,10,699.91
922,2002,7,11,698.84
923,2002,7,12,696.71
924,2002,7,13,
925,2002,7,14,
926,2002,7,15,693.72
927,2002,7,16,697.01
928,2002,7,17,697.08
929,2002,7,18,693.9
930,2002,7,19,693.21
931,2002,7,20,
932,2002,7,21,
933,2002,7,22,692.5
934,2002,7,23,692.4
935,2002,7,24,696.05
936,2002,7,25,701.65
937,2002,7,26,702.61
938,2002,7,27,
939,2002,7,28,
940,2002,7,29,702.31
941,2002,7,30,699.3
942,2002,7,31,700.98
943,2002,8,1,703.57
944,2002,8,2,704.36
945,2002,8,3,
946,2002,8,4,
947,2002,8,5,697.71
948,2002,8,6,698.41
949,2002,8,7,701.08
950,2002,8,8,696.95
951,2002,8,9,692.21
952,2002,8,10,
953,2002,8,11,
954,2002,8,12,695.14
955,2002,8,13,700.96
956,2002,8,14,702.07
957,2002,8,15,
958,2002,8,16,702.21
959,2002,8,17,
960,2002,8,18,
961,2002,8,19,700.37
962,2002,8,20,699.19
963,2002,8,21,699.46
964,2002,8,22,702.3
965,2002,8,23,705.09
966,2002,8,24,
967,2002,8,25,
968,2002,8,26,706.75
969,2002,8,27,705.92
970,2002,8,28,706.23
971,2002,8,29,713.26
972,2002,8,30,715.16
973,2002,8,31,
974,2002,9,1,
975,2002,9,2,710.35
976,2002,9,3,709.26
977,2002,9,4,714.58
978,2002,9,5,717.35
979,2002,9,6,717.05
980,2002,9,7,
981,2002,9,8,
982,2002,9,9,717.2
983,2002,9,10,716.43
984,2002,9,11,719.19
985,2002,9,12,720.26
986,2002,9,13,721.31
987,2002,9,14,
988,2002,9,15,
989,2002,9,16,721.52
990,2002,9,17,724.76
991,2002,9,18,
992,2002,9,19,
993,2002,9,20,728.7
994,2002,9,21,
995,2002,9,22,
996,2002,9,23,741.1
997,2002,9,24,749.14
998,2002,9,25,746.67
999,2002,9,26,745.1
1000,2002,9,27,745.01
1001,2002,9,28,
1002,2002,9,29,
1003,2002,9,30,747.62
1004,2002,10,1,748.73
1005,2002,10,2,746.35
1006,2002,10,3,742.81
1007,2002,10,4,743.96
1008,2002,10,5,
1009,2002,10,6,
1010,2002,10,7,743.73
1011,2002,10,8,743.54
1012,2002,10,9,744.91
1013,2002,10,10,750.53
1014,2002,10,11,756.56
1015,2002,10,12,
1016,2002,10,13,
1017,2002,10,14,743.01
1018,2002,10,15,745.62
1019,2002,10,16,744.62
1020,2002,10,17,746.18
1021,2002,10,18,746.19
1022,2002,10,19,
1023,2002,10,20,
1024,2002,10,21,745.12
1025,2002,10,22,740.23
1026,2002,10,23,736.7
1027,2002,10,24,734.24
1028,2002,10,25,735.83
1029,2002,10,26,
1030,2002,10,27,
1031,2002,10,28,735.53
1032,2002,10,29,731.95
1033,2002,10,30,733.72
1034,2002,10,31,733.24
1035,2002,11,1,
1036,2002,11,2,
1037,2002,11,3,
1038,2002,11,4,728.46
1039,2002,11,5,721.29
1040,2002,11,6,719.09
1041,2002,11,7,718.68
1042,2002,11,8,717.22
1043,2002,11,9,
1044,2002,11,10,
1045,2002,11,11,711.08
1046,2002,11,12,710.03
1047,2002,11,13,709.62
1048,2002,11,14,708.32
1049,2002,11,15,708.64
1050,2002,11,16,
1051,2002,11,17,
1052,2002,11,18,706.54
1053,2002,11,19,701.75
1054,2002,11,20,698.81
1055,2002,11,21,697.22
1056,2002,11,22,697.91
1057,2002,11,23,
1058,2002,11,24,
1059,2002,11,25,706.89
1060,2002,11,26,707.9
1061,2002,11,27,707.68
1062,2002,11,28,707.3
1063,2002,11,29,705.1
1064,2002,11,30,
1065,2002,12,1,
1066,2002,12,2,703.25
1067,2002,12,3,700.31
1068,2002,12,4,703.58
1069,2002,12,5,709.8
1070,2002,12,6,709.68
1071,2002,12,7,
1072,2002,12,8,
1073,2002,12,9,705.36
1074,2002,12,10,706.1
1075,2002,12,11,703.33
1076,2002,12,12,699.11
1077,2002,12,13,692.94
1078,2002,12,14,
1079,2002,12,15,
1080,2002,12,16,695.57
1081,2002,12,17,695.12
1082,2002,12,18,693.7
1083,2002,12,19,695.92
1084,2002,12,20,698.07
1085,2002,12,21,
1086,2002,12,22,
1087,2002,12,23,697.08
1088,2002,12,24,702.44
1089,2002,12,25,
1090,2002,12,26,705.73
1091,2002,12,27,709.51
1092,2002,12,28,
1093,2002,12,29,
1094,2002,12,30,712.38
1095,2002,12,31,
