,year,mes,Día,1.Dólar observado
0,2020,1,1,
1,2020,1,2,748.74
2,2020,1,3,754.16
3,2020,1,4,
4,2020,1,5,
5,2020,1,6,758.49
6,2020,1,7,771.82
7,2020,1,8,773.12
8,2020,1,9,766.83
9,2020,1,10,764.69
10,2020,1,11,
11,2020,1,12,
12,2020,1,13,770.56
13,2020,1,14,777.66
14,2020,1,15,772.29
15,2020,1,16,772.01
16,2020,1,17,773.36
17,2020,1,18,
18,2020,1,19,
19,2020,1,20,771.38
20,2020,1,21,769.93
21,2020,1,22,770.5
22,2020,1,23,772.12
23,2020,1,24,771.94
24,2020,1,25,
25,2020,1,26,
26,2020,1,27,776.52
27,2020,1,28,787.86
28,2020,1,29,788.13
29,2020,1,30,788.18
30,2020,1,31,797.96
31,2020,2,1,
32,2020,2,2,
33,2020,2,3,799.11
34,2020,2,4,790.92
35,2020,2,5,781.78
36,2020,2,6,776.99
37,2020,2,7,779.12
38,2020,2,8,
39,2020,2,9,
40,2020,2,10,788.8
41,2020,2,11,795.88
42,2020,2,12,792.48
43,2020,2,13,788.33
44,2020,2,14,795.12
45,2020,2,15,
46,2020,2,16,
47,2020,2,17,792.73
48,2020,2,18,791.95
49,2020,2,19,796.9
50,2020,2,20,797.4
51,2020,2,21,804.74
52,2020,2,22,
53,2020,2,23,
54,2020,2,24,809.82
55,2020,2,25,810.2
56,2020,2,26,807.96
57,2020,2,27,811.1
58,2020,2,28,816.26
59,2020,2,29,
60,2020,3,1,
61,2020,3,2,818.32
62,2020,3,3,817.45
63,2020,3,4,809.81
64,2020,3,5,812.19
65,2020,3,6,823.28
66,2020,3,7,
67,2020,3,8,
68,2020,3,9,828.95
69,2020,3,10,841.06
70,2020,3,11,834.22
71,2020,3,12,835.48
72,2020,3,13,852.06
73,2020,3,14,
74,2020,3,15,
75,2020,3,16,836.66
76,2020,3,17,850.51
77,2020,3,18,855.09
78,2020,3,19,862.69
79,2020,3,20,867.83
80,2020,3,21,
81,2020,3,22,
82,2020,3,23,851.01
83,2020,3,24,861.07
84,2020,3,25,847.04
85,2020,3,26,843.96
86,2020,3,27,836.05
87,2020,3,28,
88,2020,3,29,
89,2020,3,30,835.23
90,2020,3,31,846.3
91,2020,4,1,852.03
92,2020,4,2,863.81
93,2020,4,3,861.89
94,2020,4,4,
95,2020,4,5,
96,2020,4,6,863.99
97,2020,4,7,853.91
98,2020,4,8,842.05
99,2020,4,9,851.9
100,2020,4,10,
101,2020,4,11,
102,2020,4,12,
103,2020,4,13,839.49
104,2020,4,14,844.57
105,2020,4,15,848.63
106,2020,4,16,859.31
107,2020,4,17,852.52
108,2020,4,18,
109,2020,4,19,
110,2020,4,20,849.45
111,2020,4,21,856.23
112,2020,4,22,862.06
113,2020,4,23,856.51
114,2020,4,24,858.87
115,2020,4,25,
116,2020,4,26,
117,2020,4,27,859.95
118,2020,4,28,856.76
119,2020,4,29,850.41
120,2020,4,30,836.62
121,2020,5,1,
122,2020,5,2,
123,2020,5,3,
124,2020,5,4,837.92
125,2020,5,5,838.74
126,2020,5,6,832.84
127,2020,5,7,839.08
128,2020,5,8,836.27
129,2020,5,9,
130,2020,5,10,
131,2020,5,11,827.65
132,2020,5,12,826.05
133,2020,5,13,821.88
134,2020,5,14,820.38
135,2020,5,15,822.93
136,2020,5,16,
137,2020,5,17,
138,2020,5,18,823.86
139,2020,5,19,820.65
140,2020,5,20,819.08
141,2020,5,21,
142,2020,5,22,806.17
143,2020,5,23,
144,2020,5,24,
145,2020,5,25,805.75
146,2020,5,26,803.74
147,2020,5,27,802.1
148,2020,5,28,816.47
149,2020,5,29,812.74
150,2020,5,30,
151,2020,5,31,
152,2020,6,1,806.32
153,2020,6,2,796.46
154,2020,6,3,782.86
155,2020,6,4,769.13
156,2020,6,5,775.58
157,2020,6,6,
158,2020,6,7,
159,2020,6,8,764.97
160,2020,6,9,769.26
161,2020,6,10,771.96
162,2020,6,11,767.93
163,2020,6,12,784.65
164,2020,6,13,
165,2020,6,14,
166,2020,6,15,790.73
167,2020,6,16,796.87
168,2020,6,17,779.1
169,2020,6,18,798.53
170,2020,6,19,812.19
171,2020,6,20,
172,2020,6,21,
173,2020,6,22,817.33
174,2020,6,23,816.02
175,2020,6,24,817.9
176,2020,6,25,820.68
177,2020,6,26,813.25
178,2020,6,27,
179,2020,6,28,
180,2020,6,29,
181,2020,6,30,816.36
182,2020,7,1,821.23
183,2020,7,2,816.29
184,2020,7,3,803.98
185,2020,7,4,
186,2020,7,5,
187,2020,7,6,801.46
188,2020,7,7,798.79
189,2020,7,8,793.88
190,2020,7,9,786.18
191,2020,7,10,781.74
192,2020,7,11,
193,2020,7,12,
194,2020,7,13,790.82
195,2020,7,14,788.22
196,2020,7,15,787.87
197,2020,7,16,
198,2020,7,17,787.5
199,2020,7,18,
200,2020,7,19,
201,2020,7,20,787.26
202,2020,7,21,786.04
203,2020,7,22,777.66
204,2020,7,23,769.06
205,2020,7,24,767.17
206,2020,7,25,
207,2020,7,26,
208,2020,7,27,768.63
209,2020,7,28,768.81
210,2020,7,29,767.82
211,2020,7,30,759.18
212,2020,7,31,754.45
213,2020,8,1,
214,2020,8,2,
215,2020,8,3,757.06
216,2020,8,4,761.34
217,2020,8,5,767.98
218,2020,8,6,774.82
219,2020,8,7,777.18
220,2020,8,8,
221,2020,8,9,
222,2020,8,10,784.28
223,2020,8,11,796.58
224,2020,8,12,793.61
