,year,mes,Día,1.Dólar observado
730,2012,1,1,
731,2012,1,2,519.2
732,2012,1,3,518.2
733,2012,1,4,514.34
734,2012,1,5,512.23
735,2012,1,6,511.8
736,2012,1,7,
737,2012,1,8,
738,2012,1,9,509.54
739,2012,1,10,512.4
740,2012,1,11,508.76
741,2012,1,12,506.91
742,2012,1,13,501.47
743,2012,1,14,
744,2012,1,15,
745,2012,1,16,501.99
746,2012,1,17,500.99
747,2012,1,18,496.68
748,2012,1,19,497.05
749,2012,1,20,491.93
750,2012,1,21,
751,2012,1,22,
752,2012,1,23,491.59
753,2012,1,24,487.87
754,2012,1,25,492.96
755,2012,1,26,493.58
756,2012,1,27,485.64
757,2012,1,28,
758,2012,1,29,
759,2012,1,30,485.35
760,2012,1,31,488.99
761,2012,2,1,488.75
762,2012,2,2,487.73
763,2012,2,3,483.7
764,2012,2,4,
765,2012,2,5,
766,2012,2,6,478.64
767,2012,2,7,481.09
768,2012,2,8,479.98
769,2012,2,9,477.13
770,2012,2,10,475.29
771,2012,2,11,
772,2012,2,12,
773,2012,2,13,478.39
774,2012,2,14,478.2
775,2012,2,15,482.99
776,2012,2,16,482.75
777,2012,2,17,486.59
778,2012,2,18,
779,2012,2,19,
780,2012,2,20,483.94
781,2012,2,21,482.18
782,2012,2,22,481.5
783,2012,2,23,483.57
784,2012,2,24,481.08
785,2012,2,25,
786,2012,2,26,
787,2012,2,27,479.08
788,2012,2,28,481.27
789,2012,2,29,477.41
790,2012,3,1,476.27
791,2012,3,2,480.62
792,2012,3,3,
793,2012,3,4,
794,2012,3,5,484.47
795,2012,3,6,485.06
796,2012,3,7,489.68
797,2012,3,8,491.57
798,2012,3,9,485.03
799,2012,3,10,
800,2012,3,11,
801,2012,3,12,483.46
802,2012,3,13,484.81
803,2012,3,14,484.71
804,2012,3,15,485.71
805,2012,3,16,484.53
806,2012,3,17,
807,2012,3,18,
808,2012,3,19,480.9
809,2012,3,20,482.83
810,2012,3,21,485.61
811,2012,3,22,484.98
812,2012,3,23,487.72
813,2012,3,24,
814,2012,3,25,
815,2012,3,26,489.54
816,2012,3,27,486.31
817,2012,3,28,486.42
818,2012,3,29,488.71
819,2012,3,30,489.76
820,2012,3,31,
821,2012,4,1,
822,2012,4,2,487.44
823,2012,4,3,485.76
824,2012,4,4,482.17
825,2012,4,5,483.78
826,2012,4,6,
827,2012,4,7,
828,2012,4,8,
829,2012,4,9,485.07
830,2012,4,10,486.1
831,2012,4,11,487.04
832,2012,4,12,487.37
833,2012,4,13,483.98
834,2012,4,14,
835,2012,4,15,
836,2012,4,16,484.58
837,2012,4,17,486.95
838,2012,4,18,485.83
839,2012,4,19,487.32
840,2012,4,20,488.96
841,2012,4,21,
842,2012,4,22,
843,2012,4,23,486.07
844,2012,4,24,489.64
845,2012,4,25,487.15
846,2012,4,26,486.52
847,2012,4,27,484.88
848,2012,4,28,
849,2012,4,29,
850,2012,4,30,483.41
851,2012,5,1,
852,2012,5,2,484.87
853,2012,5,3,484.7
854,2012,5,4,482.12
855,2012,5,5,
856,2012,5,6,
857,2012,5,7,482.12
858,2012,5,8,483.44
859,2012,5,9,485.54
860,2012,5,10,490.17
861,2012,5,11,486.32
862,2012,5,12,
863,2012,5,13,
864,2012,5,14,487.8
865,2012,5,15,491.42
866,2012,5,16,497.11
867,2012,5,17,500.77
868,2012,5,18,503.76
869,2012,5,19,
870,2012,5,20,
871,2012,5,21,
872,2012,5,22,504.47
873,2012,5,23,505.46
874,2012,5,24,510.17
875,2012,5,25,507.83
876,2012,5,26,
877,2012,5,27,
878,2012,5,28,510.56
879,2012,5,29,510.26
880,2012,5,30,512.05
881,2012,5,31,517.91
882,2012,6,1,519.69
883,2012,6,2,
884,2012,6,3,
885,2012,6,4,519.6
886,2012,6,5,515.58
887,2012,6,6,512.47
888,2012,6,7,508.28
889,2012,6,8,501.74
890,2012,6,9,
891,2012,6,10,
892,2012,6,11,504.08
893,2012,6,12,501.85
894,2012,6,13,504.03
895,2012,6,14,502.07
896,2012,6,15,501.34
897,2012,6,16,
898,2012,6,17,
899,2012,6,18,499.09
900,2012,6,19,500.73
901,2012,6,20,495.48
902,2012,6,21,496.66
903,2012,6,22,499.59
904,2012,6,23,
905,2012,6,24,
906,2012,6,25,503.89
907,2012,6,26,508.1
908,2012,6,27,508.84
909,2012,6,28,505.35
910,2012,6,29,509.73
911,2012,6,30,
912,2012,7,1,
913,2012,7,2,
914,2012,7,3,501.84
915,2012,7,4,496.33
916,2012,7,5,496.18
917,2012,7,6,495.97
918,2012,7,7,
919,2012,7,8,
920,2012,7,9,499.26
921,2012,7,10,496.89
922,2012,7,11,493.34
923,2012,7,12,492.54
924,2012,7,13,493.87
925,2012,7,14,
926,2012,7,15,
