,year,mes,Día,1.Dólar observado
730,1992,1,1,
731,1992,1,2,374.51
732,1992,1,3,374.1
733,1992,1,4,
734,1992,1,5,
735,1992,1,6,374.14
736,1992,1,7,374.07
737,1992,1,8,374.04
738,1992,1,9,374.06
739,1992,1,10,374.09
740,1992,1,11,
741,1992,1,12,
742,1992,1,13,374.49
743,1992,1,14,374.6
744,1992,1,15,374.73
745,1992,1,16,374.85
746,1992,1,17,374.93
747,1992,1,18,
748,1992,1,19,
749,1992,1,20,375.42
750,1992,1,21,375.51
751,1992,1,22,375.64
752,1992,1,23,375.76
753,1992,1,24,358.07
754,1992,1,25,
755,1992,1,26,
756,1992,1,27,359.73
757,1992,1,28,356.18
758,1992,1,29,356.29
759,1992,1,30,355.51
760,1992,1,31,353.8
761,1992,2,1,
762,1992,2,2,
763,1992,2,3,350.46
764,1992,2,4,347.26
765,1992,2,5,348.33
766,1992,2,6,349.93
767,1992,2,7,350.39
768,1992,2,8,
769,1992,2,9,
770,1992,2,10,349.82
771,1992,2,11,347.65
772,1992,2,12,347.14
773,1992,2,13,347.3
774,1992,2,14,347.51
775,1992,2,15,
776,1992,2,16,
777,1992,2,17,347.57
778,1992,2,18,346.7
779,1992,2,19,346.19
780,1992,2,20,346.81
781,1992,2,21,346.13
782,1992,2,22,
783,1992,2,23,
784,1992,2,24,346.08
785,1992,2,25,347.5
786,1992,2,26,348.66
787,1992,2,27,348.54
788,1992,2,28,347.3
789,1992,2,29,
790,1992,3,1,
791,1992,3,2,346.69
792,1992,3,3,346.51
793,1992,3,4,345.96
794,1992,3,5,344.81
795,1992,3,6,344.41
796,1992,3,7,
797,1992,3,8,
798,1992,3,9,344.48
799,1992,3,10,345.03
800,1992,3,11,345.84
801,1992,3,12,347.7
802,1992,3,13,348.4
803,1992,3,14,
804,1992,3,15,
805,1992,3,16,347.4
806,1992,3,17,348.23
807,1992,3,18,347.81
808,1992,3,19,349.27
809,1992,3,20,353.84
810,1992,3,21,
811,1992,3,22,
812,1992,3,23,352.03
813,1992,3,24,350.56
814,1992,3,25,350.76
815,1992,3,26,351.7
816,1992,3,27,351.94
817,1992,3,28,
818,1992,3,29,
819,1992,3,30,350.67
820,1992,3,31,349.53
821,1992,4,1,348.02
822,1992,4,2,347.19
823,1992,4,3,347.5
824,1992,4,4,
825,1992,4,5,
826,1992,4,6,347.24
827,1992,4,7,347.16
828,1992,4,8,346.76
829,1992,4,9,346.26
830,1992,4,10,346.21
831,1992,4,11,
832,1992,4,12,
833,1992,4,13,345.3
834,1992,4,14,344.06
835,1992,4,15,343.93
836,1992,4,16,344.62
837,1992,4,17,
838,1992,4,18,
839,1992,4,19,
840,1992,4,20,345.43
841,1992,4,21,346.06
842,1992,4,22,
843,1992,4,23,346.48
844,1992,4,24,346.69
845,1992,4,25,
846,1992,4,26,
847,1992,4,27,346.91
848,1992,4,28,346.56
849,1992,4,29,346.85
850,1992,4,30,346.78
851,1992,5,1,
852,1992,5,2,
853,1992,5,3,
854,1992,5,4,346.69
855,1992,5,5,346.57
856,1992,5,6,346.53
857,1992,5,7,346.31
858,1992,5,8,345.6
859,1992,5,9,
860,1992,5,10,
861,1992,5,11,345.4
862,1992,5,12,346.24
863,1992,5,13,346.02
864,1992,5,14,345.63
865,1992,5,15,345.61
866,1992,5,16,
867,1992,5,17,
868,1992,5,18,346.28
869,1992,5,19,346.74
870,1992,5,20,347.05
871,1992,5,21,
872,1992,5,22,346.85
873,1992,5,23,
874,1992,5,24,
875,1992,5,25,346.87
876,1992,5,26,347.19
877,1992,5,27,347.7
878,1992,5,28,347.73
879,1992,5,29,347.69
880,1992,5,30,
881,1992,5,31,
882,1992,6,1,351.99
883,1992,6,2,352.61
884,1992,6,3,350.56
885,1992,6,4,351.64
886,1992,6,5,351.79
887,1992,6,6,
888,1992,6,7,
889,1992,6,8,352.95
890,1992,6,9,353.22
891,1992,6,10,353.41
892,1992,6,11,353.89
893,1992,6,12,353.83
894,1992,6,13,
895,1992,6,14,
896,1992,6,15,353.74
897,1992,6,16,354.97
898,1992,6,17,355.76
899,1992,6,18,
900,1992,6,19,355.88
901,1992,6,20,
902,1992,6,21,
903,1992,6,22,357.11
904,1992,6,23,357.96
905,1992,6,24,359.71
906,1992,6,25,359.97
907,1992,6,26,359.07
908,1992,6,27,
909,1992,6,28,
910,1992,6,29,
911,1992,6,30,359.88
912,1992,7,1,358.71
913,1992,7,2,356.91
914,1992,7,3,356.15
915,1992,7,4,
916,1992,7,5,
917,1992,7,6,356.07
918,1992,7,7,357.39
919,1992,7,8,358.62
920,1992,7,9,359.68
921,1992,7,10,360.87
922,1992,7,11,
923,1992,7,12,
924,1992,7,13,360.53
925,1992,7,14,360.0
926,1992,7,15,359.74
927,1992,7,16,360.43
928,1992,7,17,361.18
929,1992,7,18,
930,1992,7,19,
931,1992,7,20,361.84
932,1992,7,21,361.89
933,1992,7,22,362.56
934,1992,7,23,363.66
935,1992,7,24,365.51
936,1992,7,25,
937,1992,7,26,
938,1992,7,27,366.8
939,1992,7,28,366.73
940,1992,7,29,365.14
941,1992,7,30,364.12
942,1992,7,31,364.17
943,1992,8,1,
944,1992,8,2,
945,1992,8,3,364.67
946,1992,8,4,364.98
947,1992,8,5,366.68
948,1992,8,6,367.99
949,1992,8,7,367.68
950,1992,8,8,
951,1992,8,9,
952,1992,8,10,366.09
953,1992,8,11,366.28
954,1992,8,12,367.07
955,1992,8,13,367.0
956,1992,8,14,367.41
957,1992,8,15,
958,1992,8,16,
959,1992,8,17,367.35
960,1992,8,18,367.63
961,1992,8,19,367.81
962,1992,8,20,368.0
963,1992,8,21,369.79
964,1992,8,22,
965,1992,8,23,
966,1992,8,24,372.44
967,1992,8,25,371.75
968,1992,8,26,372.43
969,1992,8,27,374.35
970,1992,8,28,374.36
971,1992,8,29,
972,1992,8,30,
973,1992,8,31,374.4
974,1992,9,1,374.8
975,1992,9,2,375.97
976,1992,9,3,377.08
977,1992,9,4,375.62
978,1992,9,5,
979,1992,9,6,
980,1992,9,7,376.33
981,1992,9,8,376.49
982,1992,9,9,376.46
983,1992,9,10,375.51
984,1992,9,11,
985,1992,9,12,
986,1992,9,13,
987,1992,9,14,374.5
988,1992,9,15,375.45
989,1992,9,16,374.27
990,1992,9,17,374.1
991,1992,9,18,
992,1992,9,19,
993,1992,9,20,
994,1992,9,21,376.01
995,1992,9,22,376.5
996,1992,9,23,377.13
997,1992,9,24,377.27
998,1992,9,25,377.27
999,1992,9,26,
1000,1992,9,27,
1001,1992,9,28,377.39
1002,1992,9,29,376.65
1003,1992,9,30,375.92
1004,1992,10,1,375.31
1005,1992,10,2,374.86
1006,1992,10,3,
1007,1992,10,4,
1008,1992,10,5,374.51
1009,1992,10,6,374.23
1010,1992,10,7,373.83
1011,1992,10,8,371.5
1012,1992,10,9,370.4
1013,1992,10,10,
1014,1992,10,11,
1015,1992,10,12,
1016,1992,10,13,371.12
1017,1992,10,14,371.25
1018,1992,10,15,371.84
1019,1992,10,16,371.17
1020,1992,10,17,
1021,1992,10,18,
1022,1992,10,19,372.04
1023,1992,10,20,372.65
1024,1992,10,21,374.28
1025,1992,10,22,375.33
1026,1992,10,23,372.75
1027,1992,10,24,
1028,1992,10,25,
1029,1992,10,26,373.46
1030,1992,10,27,373.97
1031,1992,10,28,373.91
1032,1992,10,29,373.34
1033,1992,10,30,373.38
1034,1992,10,31,
1035,1992,11,1,
1036,1992,11,2,373.99
1037,1992,11,3,372.72
1038,1992,11,4,374.12
1039,1992,11,5,374.16
1040,1992,11,6,375.13
1041,1992,11,7,
1042,1992,11,8,
1043,1992,11,9,376.0
1044,1992,11,10,376.83
1045,1992,11,11,376.35
1046,1992,11,12,376.54
1047,1992,11,13,376.74
1048,1992,11,14,
1049,1992,11,15,
1050,1992,11,16,377.4
1051,1992,11,17,378.57
1052,1992,11,18,379.51
1053,1992,11,19,379.03
1054,1992,11,20,378.94
1055,1992,11,21,
1056,1992,11,22,
1057,1992,11,23,379.45
1058,1992,11,24,380.67
1059,1992,11,25,381.2
1060,1992,11,26,380.84
1061,1992,11,27,380.78
1062,1992,11,28,
1063,1992,11,29,
1064,1992,11,30,381.3
1065,1992,12,1,381.7
1066,1992,12,2,381.34
1067,1992,12,3,380.84
1068,1992,12,4,380.84
