,year,mes,Día,1.Dólar observado
145,1983,1,1,
146,1983,1,2,
147,1983,1,3,73.43
148,1983,1,4,73.83
149,1983,1,5,73.86
150,1983,1,6,74.11
151,1983,1,7,73.98
152,1983,1,8,
153,1983,1,9,
154,1983,1,10,73.9
155,1983,1,11,74.1
156,1983,1,12,73.74
157,1983,1,13,73.49
158,1983,1,14,
159,1983,1,15,
160,1983,1,16,
161,1983,1,17,73.06
162,1983,1,18,73.4
163,1983,1,19,73.51
164,1983,1,20,73.75
165,1983,1,21,74.16
166,1983,1,22,
167,1983,1,23,
168,1983,1,24,74.34
169,1983,1,25,74.51
170,1983,1,26,74.67
171,1983,1,27,75.09
172,1983,1,28,74.85
173,1983,1,29,
174,1983,1,30,
175,1983,1,31,75.08
176,1983,2,1,75.27
177,1983,2,2,75.48
178,1983,2,3,75.52
179,1983,2,4,75.07
180,1983,2,5,
181,1983,2,6,
182,1983,2,7,75.71
183,1983,2,8,75.65
184,1983,2,9,75.66
185,1983,2,10,75.74
186,1983,2,11,75.96
187,1983,2,12,
188,1983,2,13,
189,1983,2,14,76.04
190,1983,2,15,75.49
191,1983,2,16,75.37
192,1983,2,17,75.88
193,1983,2,18,75.96
194,1983,2,19,
195,1983,2,20,
196,1983,2,21,75.71
197,1983,2,22,76.25
198,1983,2,23,78.09
199,1983,2,24,78.54
200,1983,2,25,80.23
201,1983,2,26,
202,1983,2,27,
203,1983,2,28,80.04
204,1983,3,1,78.8
205,1983,3,2,81.84
206,1983,3,3,78.94
207,1983,3,4,74.08
208,1983,3,5,
209,1983,3,6,
210,1983,3,7,74.08
211,1983,3,8,73.78
212,1983,3,9,74.07
213,1983,3,10,73.76
214,1983,3,11,73.83
215,1983,3,12,
216,1983,3,13,
217,1983,3,14,74.05
218,1983,3,15,73.53
219,1983,3,16,73.65
220,1983,3,17,73.77
221,1983,3,18,73.58
222,1983,3,19,
223,1983,3,20,
224,1983,3,21,73.64
225,1983,3,22,73.54
226,1983,3,23,73.54
227,1983,3,24,73.51
228,1983,3,25,73.5
229,1983,3,26,
230,1983,3,27,
231,1983,3,28,73.36
232,1983,3,29,73.41
233,1983,3,30,73.44
234,1983,3,31,73.26
235,1983,4,1,
236,1983,4,2,
237,1983,4,3,
238,1983,4,4,73.33
239,1983,4,5,73.31
240,1983,4,6,73.35
241,1983,4,7,73.34
242,1983,4,8,73.33
243,1983,4,9,
244,1983,4,10,
245,1983,4,11,73.31
246,1983,4,12,73.47
247,1983,4,13,73.48
248,1983,4,14,73.52
249,1983,4,15,73.52
250,1983,4,16,
251,1983,4,17,
252,1983,4,18,73.61
253,1983,4,19,73.82
254,1983,4,20,73.81
255,1983,4,21,73.83
256,1983,4,22,73.89
257,1983,4,23,
258,1983,4,24,
259,1983,4,25,73.98
260,1983,4,26,74.15
261,1983,4,27,74.14
262,1983,4,28,74.26
263,1983,4,29,74.27
264,1983,4,30,
265,1983,5,1,
266,1983,5,2,74.21
267,1983,5,3,74.37
268,1983,5,4,74.25
269,1983,5,5,74.49
270,1983,5,6,74.58
271,1983,5,7,
272,1983,5,8,
273,1983,5,9,74.61
274,1983,5,10,74.53
275,1983,5,11,74.77
276,1983,5,12,74.81
