,year,mes,Día,1.Dólar observado
2191,1996,1,1,
2192,1996,1,2,406.91
2193,1996,1,3,405.53
2194,1996,1,4,404.76
2195,1996,1,5,407.33
2196,1996,1,6,
2197,1996,1,7,
2198,1996,1,8,406.16
2199,1996,1,9,406.43
2200,1996,1,10,407.54
2201,1996,1,11,407.71
2202,1996,1,12,406.63
2203,1996,1,13,
2204,1996,1,14,
2205,1996,1,15,405.77
2206,1996,1,16,405.95
2207,1996,1,17,407.12
2208,1996,1,18,408.06
2209,1996,1,19,408.7
2210,1996,1,20,
2211,1996,1,21,
2212,1996,1,22,409.59
2213,1996,1,23,411.94
2214,1996,1,24,410.68
2215,1996,1,25,410.92
2216,1996,1,26,410.4
2217,1996,1,27,
2218,1996,1,28,
2219,1996,1,29,412.95
2220,1996,1,30,413.86
2221,1996,1,31,412.76
2222,1996,2,1,412.29
2223,1996,2,2,410.93
2224,1996,2,3,
2225,1996,2,4,
2226,1996,2,5,409.77
2227,1996,2,6,409.49
2228,1996,2,7,409.98
2229,1996,2,8,411.38
2230,1996,2,9,410.08
2231,1996,2,10,
2232,1996,2,11,
2233,1996,2,12,409.48
2234,1996,2,13,409.34
2235,1996,2,14,409.8
2236,1996,2,15,410.14
2237,1996,2,16,410.19
2238,1996,2,17,
2239,1996,2,18,
2240,1996,2,19,411.44
2241,1996,2,20,410.6
2242,1996,2,21,411.76
2243,1996,2,22,412.34
2244,1996,2,23,412.11
2245,1996,2,24,
2246,1996,2,25,
2247,1996,2,26,412.34
2248,1996,2,27,412.18
2249,1996,2,28,412.11
2250,1996,2,29,412.53
2251,1996,3,1,412.58
2252,1996,3,2,
2253,1996,3,3,
2254,1996,3,4,412.28
2255,1996,3,5,411.13
2256,1996,3,6,411.1
2257,1996,3,7,411.07
2258,1996,3,8,410.5
2259,1996,3,9,
2260,1996,3,10,
2261,1996,3,11,410.97
2262,1996,3,12,411.54
2263,1996,3,13,411.29
2264,1996,3,14,410.71
2265,1996,3,15,410.92
2266,1996,3,16,
2267,1996,3,17,
2268,1996,3,18,411.53
2269,1996,3,19,411.94
2270,1996,3,20,412.36
2271,1996,3,21,411.97
2272,1996,3,22,411.55
2273,1996,3,23,
2274,1996,3,24,
2275,1996,3,25,411.75
2276,1996,3,26,411.68
2277,1996,3,27,411.9
2278,1996,3,28,412.07
2279,1996,3,29,411.64
2280,1996,3,30,
2281,1996,3,31,
2282,1996,4,1,411.64
2283,1996,4,2,411.43
2284,1996,4,3,410.78
2285,1996,4,4,409.94
2286,1996,4,5,
2287,1996,4,6,
2288,1996,4,7,
2289,1996,4,8,409.74
2290,1996,4,9,409.06
2291,1996,4,10,409.59
2292,1996,4,11,409.74
2293,1996,4,12,409.18
2294,1996,4,13,
2295,1996,4,14,
2296,1996,4,15,407.71
2297,1996,4,16,407.17
2298,1996,4,17,407.27
2299,1996,4,18,407.05
2300,1996,4,19,406.62
2301,1996,4,20,
2302,1996,4,21,
2303,1996,4,22,406.97
2304,1996,4,23,408.39
2305,1996,4,24,407.31
2306,1996,4,25,407.28
2307,1996,4,26,406.86
2308,1996,4,27,
2309,1996,4,28,
2310,1996,4,29,406.38
2311,1996,4,30,406.81
2312,1996,5,1,
2313,1996,5,2,407.28
2314,1996,5,3,407.11
2315,1996,5,4,
2316,1996,5,5,
2317,1996,5,6,406.57
2318,1996,5,7,404.73
2319,1996,5,8,404.01
2320,1996,5,9,403.89
2321,1996,5,10,402.25
2322,1996,5,11,
2323,1996,5,12,
2324,1996,5,13,402.71
2325,1996,5,14,403.06
2326,1996,5,15,404.05
2327,1996,5,16,405.03
2328,1996,5,17,406.5
2329,1996,5,18,
2330,1996,5,19,
2331,1996,5,20,408.93
2332,1996,5,21,
2333,1996,5,22,409.31
2334,1996,5,23,407.46
2335,1996,5,24,406.59
2336,1996,5,25,
2337,1996,5,26,
2338,1996,5,27,407.88
2339,1996,5,28,408.07
2340,1996,5,29,408.95
2341,1996,5,30,408.74
2342,1996,5,31,407.72
2343,1996,6,1,
2344,1996,6,2,
2345,1996,6,3,408.93
2346,1996,6,4,408.61
2347,1996,6,5,409.93
2348,1996,6,6,
2349,1996,6,7,411.93
2350,1996,6,8,
2351,1996,6,9,
2352,1996,6,10,410.55
2353,1996,6,11,410.14
2354,1996,6,12,409.93
2355,1996,6,13,410.07
2356,1996,6,14,409.69
2357,1996,6,15,
2358,1996,6,16,
2359,1996,6,17,409.14
2360,1996,6,18,410.32
2361,1996,6,19,409.17
2362,1996,6,20,408.4
2363,1996,6,21,408.93
2364,1996,6,22,
2365,1996,6,23,
2366,1996,6,24,409.7
2367,1996,6,25,410.99
2368,1996,6,26,410.63
2369,1996,6,27,410.35
2370,1996,6,28,409.68
2371,1996,6,29,
2372,1996,6,30,
2373,1996,7,1,410.73
2374,1996,7,2,410.77
2375,1996,7,3,411.6
2376,1996,7,4,411.34
2377,1996,7,5,411.11
2378,1996,7,6,
2379,1996,7,7,
2380,1996,7,8,411.85
2381,1996,7,9,412.03
2382,1996,7,10,411.55
2383,1996,7,11,411.29
2384,1996,7,12,411.13
2385,1996,7,13,
2386,1996,7,14,
2387,1996,7,15,411.4
2388,1996,7,16,411.35
2389,1996,7,17,409.59
2390,1996,7,18,408.8
2391,1996,7,19,409.41
2392,1996,7,20,
2393,1996,7,21,
2394,1996,7,22,410.55
2395,1996,7,23,410.29
2396,1996,7,24,410.43
2397,1996,7,25,409.92
2398,1996,7,26,409.83
2399,1996,7,27,
2400,1996,7,28,
2401,1996,7,29,410.3
2402,1996,7,30,410.63
2403,1996,7,31,410.73
2404,1996,8,1,411.0
2405,1996,8,2,411.59
2406,1996,8,3,
2407,1996,8,4,
2408,1996,8,5,412.6
2409,1996,8,6,412.78
2410,1996,8,7,412.39
2411,1996,8,8,411.57
2412,1996,8,9,411.21
2413,1996,8,10,
2414,1996,8,11,
2415,1996,8,12,411.1
2416,1996,8,13,410.5
2417,1996,8,14,410.77
2418,1996,8,15,
2419,1996,8,16,410.12
2420,1996,8,17,
2421,1996,8,18,
2422,1996,8,19,411.18
2423,1996,8,20,410.26
2424,1996,8,21,410.63
2425,1996,8,22,410.84
2426,1996,8,23,410.8
2427,1996,8,24,
2428,1996,8,25,
2429,1996,8,26,410.91
2430,1996,8,27,410.61
2431,1996,8,28,410.68
2432,1996,8,29,410.78
2433,1996,8,30,410.79
2434,1996,8,31,
2435,1996,9,1,
2436,1996,9,2,411.07
2437,1996,9,3,411.42
2438,1996,9,4,411.91
2439,1996,9,5,412.25
2440,1996,9,6,411.59
2441,1996,9,7,
2442,1996,9,8,
2443,1996,9,9,411.92
2444,1996,9,10,411.42
2445,1996,9,11,
2446,1996,9,12,412.14
2447,1996,9,13,412.21
2448,1996,9,14,
2449,1996,9,15,
2450,1996,9,16,411.69
2451,1996,9,17,411.39
2452,1996,9,18,
2453,1996,9,19,
2454,1996,9,20,411.59
2455,1996,9,21,
2456,1996,9,22,
2457,1996,9,23,411.76
2458,1996,9,24,411.8
2459,1996,9,25,412.14
2460,1996,9,26,411.94
2461,1996,9,27,411.98
2462,1996,9,28,
2463,1996,9,29,
2464,1996,9,30,412.98
2465,1996,10,1,413.25
2466,1996,10,2,413.22
2467,1996,10,3,413.63
2468,1996,10,4,413.59
2469,1996,10,5,
2470,1996,10,6,
2471,1996,10,7,413.4
2472,1996,10,8,413.32
2473,1996,10,9,413.36
2474,1996,10,10,413.47
2475,1996,10,11,413.19
2476,1996,10,12,
2477,1996,10,13,
2478,1996,10,14,413.68
2479,1996,10,15,413.89
2480,1996,10,16,415.34
2481,1996,10,17,415.46
