,year,mes,Día,1.Dólar observado
1461,2014,1,1,
1462,2014,1,2,524.61
1463,2014,1,3,529.55
1464,2014,1,4,
1465,2014,1,5,
1466,2014,1,6,528.8
1467,2014,1,7,531.14
1468,2014,1,8,531.65
1469,2014,1,9,532.14
1470,2014,1,10,533.97
1471,2014,1,11,
1472,2014,1,12,
1473,2014,1,13,531.17
1474,2014,1,14,527.53
1475,2014,1,15,527.76
1476,2014,1,16,529.51
1477,2014,1,17,531.68
1478,2014,1,18,
1479,2014,1,19,
1480,2014,1,20,537.0
1481,2014,1,21,541.59
1482,2014,1,22,543.93
1483,2014,1,23,544.24
1484,2014,1,24,546.42
1485,2014,1,25,
1486,2014,1,26,
1487,2014,1,27,550.53
1488,2014,1,28,548.34
1489,2014,1,29,547.07
1490,2014,1,30,548.8
1491,2014,1,31,547.22
1492,2014,2,1,
1493,2014,2,2,
1494,2014,2,3,553.84
1495,2014,2,4,556.52
1496,2014,2,5,557.55
1497,2014,2,6,559.24
1498,2014,2,7,556.14
1499,2014,2,8,
1500,2014,2,9,
1501,2014,2,10,553.16
1502,2014,2,11,555.35
1503,2014,2,12,554.56
1504,2014,2,13,552.91
1505,2014,2,14,549.44
1506,2014,2,15,
1507,2014,2,16,
1508,2014,2,17,546.94
1509,2014,2,18,546.99
1510,2014,2,19,548.11
1511,2014,2,20,552.43
1512,2014,2,21,555.37
1513,2014,2,22,
1514,2014,2,23,
1515,2014,2,24,555.51
1516,2014,2,25,555.1
1517,2014,2,26,556.67
1518,2014,2,27,559.02
1519,2014,2,28,563.32
1520,2014,3,1,
1521,2014,3,2,
1522,2014,3,3,559.38
1523,2014,3,4,561.52
1524,2014,3,5,558.28
1525,2014,3,6,562.7
1526,2014,3,7,559.54
1527,2014,3,8,
1528,2014,3,9,
1529,2014,3,10,561.55
1530,2014,3,11,569.64
1531,2014,3,12,570.69
1532,2014,3,13,573.24
1533,2014,3,14,570.84
1534,2014,3,15,
1535,2014,3,16,
1536,2014,3,17,572.03
1537,2014,3,18,570.35
1538,2014,3,19,570.91
1539,2014,3,20,569.66
1540,2014,3,21,568.49
1541,2014,3,22,
1542,2014,3,23,
1543,2014,3,24,561.91
1544,2014,3,25,562.7
1545,2014,3,26,559.57
1546,2014,3,27,555.75
1547,2014,3,28,551.43
1548,2014,3,29,
1549,2014,3,30,
1550,2014,3,31,550.53
1551,2014,4,1,551.18
1552,2014,4,2,550.62
1553,2014,4,3,553.6
1554,2014,4,4,555.97
1555,2014,4,5,
1556,2014,4,6,
1557,2014,4,7,555.08
1558,2014,4,8,553.59
1559,2014,4,9,546.72
1560,2014,4,10,548.13
1561,2014,4,11,544.96
1562,2014,4,12,
1563,2014,4,13,
