,year,mes,Día,1.Dólar observado
2191,2016,1,1,
2192,2016,1,2,
2193,2016,1,3,
2194,2016,1,4,710.16
2195,2016,1,5,716.94
2196,2016,1,6,715.08
2197,2016,1,7,715.84
2198,2016,1,8,721.31
2199,2016,1,9,
2200,2016,1,10,
2201,2016,1,11,723.31
2202,2016,1,12,729.78
2203,2016,1,13,730.28
2204,2016,1,14,726.57
2205,2016,1,15,725.98
2206,2016,1,16,
2207,2016,1,17,
2208,2016,1,18,730.31
2209,2016,1,19,730.2
2210,2016,1,20,726.19
2211,2016,1,21,729.22
2212,2016,1,22,726.63
2213,2016,1,23,
2214,2016,1,24,
2215,2016,1,25,715.63
2216,2016,1,26,717.46
2217,2016,1,27,720.14
2218,2016,1,28,716.21
2219,2016,1,29,711.72
2220,2016,1,30,
2221,2016,1,31,
2222,2016,2,1,710.37
2223,2016,2,2,714.44
2224,2016,2,3,713.54
2225,2016,2,4,709.43
2226,2016,2,5,698.49
2227,2016,2,6,
2228,2016,2,7,
2229,2016,2,8,700.02
2230,2016,2,9,709.75
2231,2016,2,10,715.41
2232,2016,2,11,711.34
2233,2016,2,12,713.47
2234,2016,2,13,
2235,2016,2,14,
2236,2016,2,15,708.63
2237,2016,2,16,701.39
2238,2016,2,17,704.92
2239,2016,2,18,705.44
2240,2016,2,19,700.74
2241,2016,2,20,
2242,2016,2,21,
2243,2016,2,22,702.38
2244,2016,2,23,693.78
2245,2016,2,24,693.23
2246,2016,2,25,698.47
2247,2016,2,26,691.36
2248,2016,2,27,
2249,2016,2,28,
2250,2016,2,29,689.18
2251,2016,3,1,694.17
2252,2016,3,2,694.82
2253,2016,3,3,688.48
2254,2016,3,4,686.64
2255,2016,3,5,
2256,2016,3,6,
2257,2016,3,7,681.39
2258,2016,3,8,681.63
2259,2016,3,9,682.0
2260,2016,3,10,678.72
2261,2016,3,11,678.22
2262,2016,3,12,
2263,2016,3,13,
2264,2016,3,14,683.0
2265,2016,3,15,684.74
2266,2016,3,16,685.98
2267,2016,3,17,688.11
2268,2016,3,18,672.06
2269,2016,3,19,
2270,2016,3,20,
2271,2016,3,21,671.97
2272,2016,3,22,677.52
2273,2016,3,23,677.42
2274,2016,3,24,677.16
2275,2016,3,25,
2276,2016,3,26,
2277,2016,3,27,
2278,2016,3,28,682.36
2279,2016,3,29,680.84
2280,2016,3,30,683.16
2281,2016,3,31,675.1
2282,2016,4,1,669.8
2283,2016,4,2,
2284,2016,4,3,
2285,2016,4,4,671.24
2286,2016,4,5,669.55
2287,2016,4,6,674.93
2288,2016,4,7,676.62
2289,2016,4,8,680.79
2290,2016,4,9,
2291,2016,4,10,
2292,2016,4,11,682.45
2293,2016,4,12,682.16
2294,2016,4,13,674.58
2295,2016,4,14,670.8
2296,2016,4,15,668.38
2297,2016,4,16,
2298,2016,4,17,
2299,2016,4,18,666.6
2300,2016,4,19,666.0
2301,2016,4,20,657.9
2302,2016,4,21,660.38
2303,2016,4,22,660.34
2304,2016,4,23,
2305,2016,4,24,
2306,2016,4,25,666.8
2307,2016,4,26,668.36
2308,2016,4,27,669.01
2309,2016,4,28,668.49
2310,2016,4,29,663.4
2311,2016,4,30,
2312,2016,5,1,
2313,2016,5,2,659.34
2314,2016,5,3,660.88
2315,2016,5,4,667.89
2316,2016,5,5,670.36
2317,2016,5,6,667.43
2318,2016,5,7,
2319,2016,5,8,
2320,2016,5,9,666.89
2321,2016,5,10,670.97
2322,2016,5,11,677.2
2323,2016,5,12,678.5
2324,2016,5,13,682.55
2325,2016,5,14,
2326,2016,5,15,
2327,2016,5,16,689.34
2328,2016,5,17,692.52
2329,2016,5,18,692.77
2330,2016,5,19,691.32
2331,2016,5,20,696.96
2332,2016,5,21,
2333,2016,5,22,
2334,2016,5,23,692.19
2335,2016,5,24,693.89
2336,2016,5,25,692.87
2337,2016,5,26,692.24
2338,2016,5,27,687.34
2339,2016,5,28,
2340,2016,5,29,
2341,2016,5,30,687.43
2342,2016,5,31,690.27
2343,2016,6,1,689.81
2344,2016,6,2,693.61
2345,2016,6,3,691.36
2346,2016,6,4,
2347,2016,6,5,
2348,2016,6,6,683.27
2349,2016,6,7,680.55
2350,2016,6,8,679.85
2351,2016,6,9,673.14
2352,2016,6,10,678.18
2353,2016,6,11,
2354,2016,6,12,
2355,2016,6,13,683.67
2356,2016,6,14,685.0
2357,2016,6,15,688.34
2358,2016,6,16,685.89
2359,2016,6,17,689.83
2360,2016,6,18,
2361,2016,6,19,
2362,2016,6,20,685.64
2363,2016,6,21,679.8
2364,2016,6,22,676.03
2365,2016,6,23,672.8
2366,2016,6,24,669.88
2367,2016,6,25,
2368,2016,6,26,
2369,2016,6,27,
2370,2016,6,28,680.21
2371,2016,6,29,674.16
2372,2016,6,30,661.49
2373,2016,7,1,661.37
2374,2016,7,2,
2375,2016,7,3,
2376,2016,7,4,659.64
2377,2016,7,5,659.26
2378,2016,7,6,661.29
2379,2016,7,7,664.51
2380,2016,7,8,664.06
2381,2016,7,9,
2382,2016,7,10,
2383,2016,7,11,661.5
2384,2016,7,12,657.84
2385,2016,7,13,657.82
2386,2016,7,14,658.2
2387,2016,7,15,650.92
2388,2016,7,16,
2389,2016,7,17,
2390,2016,7,18,650.58
2391,2016,7,19,650.84
2392,2016,7,20,651.53
2393,2016,7,21,651.43
2394,2016,7,22,650.09
2395,2016,7,23,
2396,2016,7,24,
2397,2016,7,25,650.78
2398,2016,7,26,656.33
2399,2016,7,27,661.04
2400,2016,7,28,664.94
2401,2016,7,29,664.94
2402,2016,7,30,
2403,2016,7,31,
2404,2016,8,1,656.95
2405,2016,8,2,657.47
2406,2016,8,3,654.76
2407,2016,8,4,657.21
2408,2016,8,5,657.36
2409,2016,8,6,
2410,2016,8,7,
2411,2016,8,8,656.98
2412,2016,8,9,654.79
2413,2016,8,10,653.06
2414,2016,8,11,649.29
2415,2016,8,12,645.22
2416,2016,8,13,
2417,2016,8,14,
2418,2016,8,15,
2419,2016,8,16,648.31
2420,2016,8,17,649.01
2421,2016,8,18,657.46
2422,2016,8,19,656.05
2423,2016,8,20,
2424,2016,8,21,
2425,2016,8,22,660.94
2426,2016,8,23,667.31
2427,2016,8,24,668.57
2428,2016,8,25,671.49
2429,2016,8,26,665.94
2430,2016,8,27,
2431,2016,8,28,
2432,2016,8,29,662.93
2433,2016,8,30,671.32
2434,2016,8,31,673.17
2435,2016,9,1,678.57
2436,2016,9,2,680.28
2437,2016,9,3,
2438,2016,9,4,
2439,2016,9,5,675.43
2440,2016,9,6,673.61
2441,2016,9,7,669.49
2442,2016,9,8,660.95
2443,2016,9,9,661.93
2444,2016,9,10,
2445,2016,9,11,
2446,2016,9,12,670.61
2447,2016,9,13,674.18
2448,2016,9,14,672.97
2449,2016,9,15,674.93
2450,2016,9,16,671.36
2451,2016,9,17,
2452,2016,9,18,
2453,2016,9,19,
2454,2016,9,20,674.67
2455,2016,9,21,672.73
2456,2016,9,22,666.89
2457,2016,9,23,657.32
2458,2016,9,24,
2459,2016,9,25,
2460,2016,9,26,659.71
2461,2016,9,27,662.34
2462,2016,9,28,661.96
2463,2016,9,29,662.27
2464,2016,9,30,659.08
2465,2016,10,1,
2466,2016,10,2,
2467,2016,10,3,658.02
2468,2016,10,4,658.59
2469,2016,10,5,662.29
2470,2016,10,6,664.86
2471,2016,10,7,666.97
2472,2016,10,8,
2473,2016,10,9,
2474,2016,10,10,
2475,2016,10,11,667.93
2476,2016,10,12,667.47
2477,2016,10,13,667.19
2478,2016,10,14,670.88
2479,2016,10,15,
2480,2016,10,16,
2481,2016,10,17,670.37
2482,2016,10,18,670.61
2483,2016,10,19,668.47
2484,2016,10,20,667.41
2485,2016,10,21,666.74
2486,2016,10,22,
2487,2016,10,23,
2488,2016,10,24,667.09
2489,2016,10,25,660.38
2490,2016,10,26,653.98
2491,2016,10,27,653.62
2492,2016,10,28,651.65
2493,2016,10,29,
2494,2016,10,30,
2495,2016,10,31,
2496,2016,11,1,
2497,2016,11,2,651.18
2498,2016,11,3,653.55
2499,2016,11,4,650.72
2500,2016,11,5,
2501,2016,11,6,
2502,2016,11,7,654.87
2503,2016,11,8,654.66
2504,2016,11,9,651.32
2505,2016,11,10,650.95
2506,2016,11,11,656.36
2507,2016,11,12,
2508,2016,11,13,
2509,2016,11,14,663.23
2510,2016,11,15,668.29
2511,2016,11,16,668.93
2512,2016,11,17,675.77
2513,2016,11,18,674.38
2514,2016,11,19,
2515,2016,11,20,
2516,2016,11,21,678.28
2517,2016,11,22,675.39
2518,2016,11,23,674.37
2519,2016,11,24,679.24
2520,2016,11,25,677.56
2521,2016,11,26,
2522,2016,11,27,
2523,2016,11,28,678.03
2524,2016,11,29,675.91
2525,2016,11,30,675.48
2526,2016,12,1,673.54
2527,2016,12,2,674.76
2528,2016,12,3,
2529,2016,12,4,
2530,2016,12,5,672.58
2531,2016,12,6,668.9
2532,2016,12,7,662.05
2533,2016,12,8,
2534,2016,12,9,656.07
2535,2016,12,10,
2536,2016,12,11,
2537,2016,12,12,653.55
2538,2016,12,13,649.4
2539,2016,12,14,650.25
2540,2016,12,15,654.94
2541,2016,12,16,663.68
2542,2016,12,17,
2543,2016,12,18,
2544,2016,12,19,670.16
2545,2016,12,20,677.11
2546,2016,12,21,676.09
2547,2016,12,22,672.24
2548,2016,12,23,674.96
2549,2016,12,24,
2550,2016,12,25,
2551,2016,12,26,673.48
2552,2016,12,27,672.69
2553,2016,12,28,673.73
2554,2016,12,29,673.06
2555,2016,12,30,667.29
2556,2016,12,31,
