,year,mes,Día,1.Dólar observado
1241,1986,1,1,
1242,1986,1,2,183.86
1243,1986,1,3,183.98
1244,1986,1,4,
1245,1986,1,5,
1246,1986,1,6,184.17
1247,1986,1,7,184.32
1248,1986,1,8,184.41
1249,1986,1,9,184.42
1250,1986,1,10,184.47
1251,1986,1,11,
1252,1986,1,12,
1253,1986,1,13,184.46
1254,1986,1,14,184.53
1255,1986,1,15,184.56
1256,1986,1,16,184.75
1257,1986,1,17,184.82
1258,1986,1,18,
1259,1986,1,19,
1260,1986,1,20,184.95
1261,1986,1,21,185.02
1262,1986,1,22,185.17
1263,1986,1,23,185.16
1264,1986,1,24,185.22
1265,1986,1,25,
1266,1986,1,26,
1267,1986,1,27,185.28
1268,1986,1,28,185.37
1269,1986,1,29,185.49
1270,1986,1,30,185.55
1271,1986,1,31,185.6
1272,1986,2,1,
1273,1986,2,2,
1274,1986,2,3,185.7
1275,1986,2,4,186.02
1276,1986,2,5,185.86
1277,1986,2,6,185.88
1278,1986,2,7,185.95
1279,1986,2,8,
1280,1986,2,9,
1281,1986,2,10,185.9
1282,1986,2,11,185.83
1283,1986,2,12,185.62
1284,1986,2,13,185.9
1285,1986,2,14,186.42
1286,1986,2,15,
1287,1986,2,16,
1288,1986,2,17,186.69
1289,1986,2,18,187.0
1290,1986,2,19,187.23
1291,1986,2,20,187.35
1292,1986,2,21,187.41
1293,1986,2,22,
1294,1986,2,23,
1295,1986,2,24,187.79
1296,1986,2,25,187.93
1297,1986,2,26,188.01
1298,1986,2,27,188.13
1299,1986,2,28,188.21
1300,1986,3,1,
1301,1986,3,2,
1302,1986,3,3,188.5
1303,1986,3,4,188.72
1304,1986,3,5,188.75
1305,1986,3,6,188.8
1306,1986,3,7,188.8
1307,1986,3,8,
1308,1986,3,9,
1309,1986,3,10,189.02
1310,1986,3,11,188.91
1311,1986,3,12,188.8
1312,1986,3,13,189.39
1313,1986,3,14,189.42
1314,1986,3,15,
1315,1986,3,16,
1316,1986,3,17,189.17
1317,1986,3,18,188.91
1318,1986,3,19,189.03
1319,1986,3,20,189.27
1320,1986,3,21,189.45
1321,1986,3,22,
1322,1986,3,23,
1323,1986,3,24,189.76
1324,1986,3,25,189.81
1325,1986,3,26,189.91
1326,1986,3,27,189.97
1327,1986,3,28,
1328,1986,3,29,
1329,1986,3,30,
1330,1986,3,31,190.0
1331,1986,4,1,189.43
1332,1986,4,2,190.01
1333,1986,4,3,190.01
1334,1986,4,4,189.9
1335,1986,4,5,
1336,1986,4,6,
1337,1986,4,7,190.11
1338,1986,4,8,190.14
1339,1986,4,9,190.06
1340,1986,4,10,189.19
1341,1986,4,11,188.39
1342,1986,4,12,
1343,1986,4,13,
1344,1986,4,14,188.06
1345,1986,4,15,187.92
1346,1986,4,16,188.38
1347,1986,4,17,188.72
1348,1986,4,18,189.13
1349,1986,4,19,
1350,1986,4,20,
1351,1986,4,21,189.17
1352,1986,4,22,189.17
1353,1986,4,23,189.42
1354,1986,4,24,189.4
1355,1986,4,25,189.63
1356,1986,4,26,
1357,1986,4,27,
1358,1986,4,28,189.24
1359,1986,4,29,188.47
1360,1986,4,30,188.26
1361,1986,5,1,
1362,1986,5,2,
1363,1986,5,3,
1364,1986,5,4,
1365,1986,5,5,187.88
1366,1986,5,6,188.35
1367,1986,5,7,188.06
1368,1986,5,8,188.2
1369,1986,5,9,188.14
1370,1986,5,10,
1371,1986,5,11,
1372,1986,5,12,187.93
1373,1986,5,13,187.59
1374,1986,5,14,187.71
1375,1986,5,15,187.52
1376,1986,5,16,187.31
1377,1986,5,17,
1378,1986,5,18,
1379,1986,5,19,186.76
1380,1986,5,20,187.57
1381,1986,5,21,
1382,1986,5,22,187.93
1383,1986,5,23,188.21
1384,1986,5,24,
1385,1986,5,25,
1386,1986,5,26,188.55
1387,1986,5,27,188.33
1388,1986,5,28,188.18
1389,1986,5,29,188.4
1390,1986,5,30,188.05
1391,1986,5,31,
1392,1986,6,1,
1393,1986,6,2,187.79
1394,1986,6,3,187.71
1395,1986,6,4,188.02
1396,1986,6,5,187.85
1397,1986,6,6,187.77
1398,1986,6,7,
1399,1986,6,8,
1400,1986,6,9,187.73
1401,1986,6,10,187.87
1402,1986,6,11,188.4
1403,1986,6,12,188.25
1404,1986,6,13,187.85
1405,1986,6,14,
1406,1986,6,15,
1407,1986,6,16,188.33
1408,1986,6,17,187.9
1409,1986,6,18,188.09
1410,1986,6,19,187.93
1411,1986,6,20,187.56
1412,1986,6,21,
1413,1986,6,22,
1414,1986,6,23,187.99
1415,1986,6,24,189.27
1416,1986,6,25,190.76
1417,1986,6,26,192.5
1418,1986,6,27,192.8
1419,1986,6,28,
1420,1986,6,29,
1421,1986,6,30,192.18
1422,1986,7,1,189.66
1423,1986,7,2,189.82
1424,1986,7,3,189.12
1425,1986,7,4,188.91
1426,1986,7,5,
1427,1986,7,6,
1428,1986,7,7,188.56
1429,1986,7,8,188.82
1430,1986,7,9,189.0
1431,1986,7,10,188.46
1432,1986,7,11,188.6
1433,1986,7,12,
1434,1986,7,13,
1435,1986,7,14,188.34
1436,1986,7,15,188.59
1437,1986,7,16,188.56
1438,1986,7,17,188.88
1439,1986,7,18,189.31
1440,1986,7,19,
1441,1986,7,20,
1442,1986,7,21,191.03
1443,1986,7,22,190.73
1444,1986,7,23,191.56
1445,1986,7,24,193.91
1446,1986,7,25,194.47
1447,1986,7,26,
1448,1986,7,27,
1449,1986,7,28,193.55
1450,1986,7,29,192.93
1451,1986,7,30,192.88
1452,1986,7,31,192.55
1453,1986,8,1,191.84
1454,1986,8,2,
1455,1986,8,3,
1456,1986,8,4,191.84
1457,1986,8,5,191.99
1458,1986,8,6,192.92
1459,1986,8,7,192.67
1460,1986,8,8,192.78
1461,1986,8,9,
1462,1986,8,10,
1463,1986,8,11,193.01
1464,1986,8,12,192.47
1465,1986,8,13,192.67
1466,1986,8,14,193.94
1467,1986,8,15,
1468,1986,8,16,
1469,1986,8,17,
1470,1986,8,18,194.1
1471,1986,8,19,194.9
1472,1986,8,20,195.09
1473,1986,8,21,195.45
1474,1986,8,22,196.31
1475,1986,8,23,
1476,1986,8,24,
1477,1986,8,25,196.41
1478,1986,8,26,197.48
1479,1986,8,27,197.59
1480,1986,8,28,198.12
1481,1986,8,29,197.63
1482,1986,8,30,
1483,1986,8,31,
1484,1986,9,1,197.31
1485,1986,9,2,198.01
1486,1986,9,3,198.31
1487,1986,9,4,198.3
1488,1986,9,5,198.32
1489,1986,9,6,
1490,1986,9,7,
