,year,mes,Día,1.Dólar observado
2557,2017,1,1,
2558,2017,1,2,
2559,2017,1,3,669.47
2560,2017,1,4,673.36
2561,2017,1,5,671.78
2562,2017,1,6,666.41
2563,2017,1,7,
2564,2017,1,8,
2565,2017,1,9,665.29
2566,2017,1,10,670.35
2567,2017,1,11,670.94
2568,2017,1,12,671.69
2569,2017,1,13,663.01
2570,2017,1,14,
2571,2017,1,15,
2572,2017,1,16,660.13
2573,2017,1,17,661.38
2574,2017,1,18,657.85
2575,2017,1,19,658.91
2576,2017,1,20,660.18
2577,2017,1,21,
2578,2017,1,22,
2579,2017,1,23,659.49
2580,2017,1,24,652.92
2581,2017,1,25,653.84
2582,2017,1,26,650.98
2583,2017,1,27,648.31
2584,2017,1,28,
2585,2017,1,29,
2586,2017,1,30,649.92
2587,2017,1,31,648.87
2588,2017,2,1,646.19
2589,2017,2,2,646.97
2590,2017,2,3,643.18
2591,2017,2,4,
2592,2017,2,5,
2593,2017,2,6,641.8
2594,2017,2,7,639.35
2595,2017,2,8,646.06
2596,2017,2,9,646.58
2597,2017,2,10,646.82
2598,2017,2,11,
2599,2017,2,12,
2600,2017,2,13,642.62
2601,2017,2,14,642.4
2602,2017,2,15,641.89
2603,2017,2,16,639.93
2604,2017,2,17,638.35
2605,2017,2,18,
2606,2017,2,19,
2607,2017,2,20,643.49
2608,2017,2,21,642.21
2609,2017,2,22,643.63
2610,2017,2,23,641.51
2611,2017,2,24,640.36
2612,2017,2,25,
2613,2017,2,26,
2614,2017,2,27,645.66
2615,2017,2,28,645.19
2616,2017,3,1,648.88
2617,2017,3,2,650.98
2618,2017,3,3,654.11
2619,2017,3,4,
2620,2017,3,5,
2621,2017,3,6,655.57
2622,2017,3,7,658.71
2623,2017,3,8,660.02
2624,2017,3,9,661.65
2625,2017,3,10,664.84
2626,2017,3,11,
2627,2017,3,12,
2628,2017,3,13,663.4
2629,2017,3,14,665.43
2630,2017,3,15,669.07
2631,2017,3,16,669.52
2632,2017,3,17,661.2
2633,2017,3,18,
2634,2017,3,19,
2635,2017,3,20,661.15
2636,2017,3,21,662.35
2637,2017,3,22,657.83
2638,2017,3,23,662.84
2639,2017,3,24,662.42
2640,2017,3,25,
2641,2017,3,26,
2642,2017,3,27,661.64
2643,2017,3,28,663.74
2644,2017,3,29,666.04
2645,2017,3,30,663.61
2646,2017,3,31,662.66
2647,2017,4,1,
2648,2017,4,2,
2649,2017,4,3,663.97
2650,2017,4,4,658.16
2651,2017,4,5,661.42
2652,2017,4,6,657.74
2653,2017,4,7,656.51
2654,2017,4,8,
2655,2017,4,9,
2656,2017,4,10,656.47
2657,2017,4,11,654.22
2658,2017,4,12,652.8
2659,2017,4,13,653.65
2660,2017,4,14,
2661,2017,4,15,
2662,2017,4,16,
2663,2017,4,17,650.0
2664,2017,4,18,647.47
2665,2017,4,19,
2666,2017,4,20,647.68
2667,2017,4,21,649.26
2668,2017,4,22,
2669,2017,4,23,
2670,2017,4,24,650.65
2671,2017,4,25,653.71
2672,2017,4,26,660.04
2673,2017,4,27,665.35
2674,2017,4,28,664.28
2675,2017,4,29,
2676,2017,4,30,
2677,2017,5,1,
2678,2017,5,2,665.41
2679,2017,5,3,666.95
2680,2017,5,4,668.98
2681,2017,5,5,673.89
2682,2017,5,6,
2683,2017,5,7,
2684,2017,5,8,674.88
2685,2017,5,9,676.32
2686,2017,5,10,679.05
2687,2017,5,11,672.92
2688,2017,5,12,671.55
2689,2017,5,13,
2690,2017,5,14,
2691,2017,5,15,671.03
2692,2017,5,16,668.03
2693,2017,5,17,666.26
2694,2017,5,18,668.62
2695,2017,5,19,675.8
2696,2017,5,20,
2697,2017,5,21,
2698,2017,5,22,670.3
2699,2017,5,23,668.21
2700,2017,5,24,672.4
2701,2017,5,25,674.27
2702,2017,5,26,669.42
2703,2017,5,27,
2704,2017,5,28,
2705,2017,5,29,670.25
2706,2017,5,30,674.02
2707,2017,5,31,675.31
2708,2017,6,1,672.35
2709,2017,6,2,672.37
2710,2017,6,3,
2711,2017,6,4,
2712,2017,6,5,670.41
2713,2017,6,6,668.89
2714,2017,6,7,668.7
2715,2017,6,8,668.36
2716,2017,6,9,666.28
2717,2017,6,10,
2718,2017,6,11,
2719,2017,6,12,664.47
2720,2017,6,13,661.63
2721,2017,6,14,662.19
2722,2017,6,15,659.46
2723,2017,6,16,665.23
2724,2017,6,17,
2725,2017,6,18,
2726,2017,6,19,663.73
2727,2017,6,20,662.47
2728,2017,6,21,663.76
2729,2017,6,22,664.54
2730,2017,6,23,664.0
2731,2017,6,24,
2732,2017,6,25,
2733,2017,6,26,
2734,2017,6,27,661.72
2735,2017,6,28,662.09
2736,2017,6,29,662.36
2737,2017,6,30,663.21
2738,2017,7,1,
2739,2017,7,2,
2740,2017,7,3,664.29
2741,2017,7,4,661.95
2742,2017,7,5,663.36
2743,2017,7,6,665.94
2744,2017,7,7,666.22
2745,2017,7,8,
