,year,mes,Día,1.Dólar observado
2922,2018,1,1,
2923,2018,1,2,614.75
2924,2018,1,3,609.49
2925,2018,1,4,604.84
2926,2018,1,5,604.0
2927,2018,1,6,
2928,2018,1,7,
2929,2018,1,8,606.04
2930,2018,1,9,606.29
2931,2018,1,10,607.25
2932,2018,1,11,609.17
2933,2018,1,12,608.04
2934,2018,1,13,
2935,2018,1,14,
2936,2018,1,15,604.09
2937,2018,1,16,601.69
2938,2018,1,17,601.69
2939,2018,1,18,604.99
2940,2018,1,19,605.45
2941,2018,1,20,
2942,2018,1,21,
2943,2018,1,22,606.55
2944,2018,1,23,606.28
2945,2018,1,24,608.15
2946,2018,1,25,604.12
2947,2018,1,26,599.33
2948,2018,1,27,
2949,2018,1,28,
2950,2018,1,29,600.37
2951,2018,1,30,604.63
2952,2018,1,31,604.42
2953,2018,2,1,603.25
2954,2018,2,2,599.19
2955,2018,2,3,
2956,2018,2,4,
2957,2018,2,5,601.26
2958,2018,2,6,603.07
2959,2018,2,7,601.23
2960,2018,2,8,596.53
2961,2018,2,9,600.74
2962,2018,2,10,
2963,2018,2,11,
2964,2018,2,12,603.07
2965,2018,2,13,600.35
2966,2018,2,14,596.99
2967,2018,2,15,596.66
2968,2018,2,16,592.66
2969,2018,2,17,
2970,2018,2,18,
2971,2018,2,19,593.15
2972,2018,2,20,594.58
2973,2018,2,21,595.63
2974,2018,2,22,594.7
2975,2018,2,23,594.73
2976,2018,2,24,
2977,2018,2,25,
2978,2018,2,26,591.56
2979,2018,2,27,588.28
2980,2018,2,28,589.15
2981,2018,3,1,593.61
2982,2018,3,2,596.15
2983,2018,3,3,
2984,2018,3,4,
2985,2018,3,5,598.04
2986,2018,3,6,600.51
2987,2018,3,7,595.93
2988,2018,3,8,601.91
2989,2018,3,9,605.22
2990,2018,3,10,
2991,2018,3,11,
2992,2018,3,12,603.56
2993,2018,3,13,603.85
2994,2018,3,14,602.19
2995,2018,3,15,601.16
2996,2018,3,16,603.54
2997,2018,3,17,
2998,2018,3,18,
2999,2018,3,19,607.6
3000,2018,3,20,609.39
3001,2018,3,21,609.58
3002,2018,3,22,607.23
3003,2018,3,23,607.76
3004,2018,3,24,
3005,2018,3,25,
3006,2018,3,26,608.14
3007,2018,3,27,606.07
3008,2018,3,28,605.65
3009,2018,3,29,605.26
3010,2018,3,30,
3011,2018,3,31,
3012,2018,4,1,
3013,2018,4,2,603.39
3014,2018,4,3,604.06
3015,2018,4,4,603.66
3016,2018,4,5,604.81
3017,2018,4,6,602.71
3018,2018,4,7,
3019,2018,4,8,
3020,2018,4,9,605.17
3021,2018,4,10,604.54
3022,2018,4,11,601.99
3023,2018,4,12,599.2
3024,2018,4,13,596.96
3025,2018,4,14,
3026,2018,4,15,
3027,2018,4,16,595.45
3028,2018,4,17,595.99
3029,2018,4,18,595.82
3030,2018,4,19,594.41
3031,2018,4,20,594.42
3032,2018,4,21,
3033,2018,4,22,
3034,2018,4,23,596.26
3035,2018,4,24,600.58
3036,2018,4,25,599.87
3037,2018,4,26,603.16
3038,2018,4,27,603.31
3039,2018,4,28,
3040,2018,4,29,
3041,2018,4,30,605.74
3042,2018,5,1,
3043,2018,5,2,610.98
3044,2018,5,3,617.69
3045,2018,5,4,619.18
3046,2018,5,5,
3047,2018,5,6,
3048,2018,5,7,621.36
3049,2018,5,8,627.08
3050,2018,5,9,636.0
3051,2018,5,10,632.92
3052,2018,5,11,626.82
