,year,mes,Día,1.Dólar observado
510,1984,1,1,
511,1984,1,2,87.54
512,1984,1,3,87.62
513,1984,1,4,87.63
514,1984,1,5,87.66
515,1984,1,6,87.68
516,1984,1,7,
517,1984,1,8,
518,1984,1,9,87.7
519,1984,1,10,87.77
520,1984,1,11,87.78
521,1984,1,12,87.79
522,1984,1,13,87.81
523,1984,1,14,
524,1984,1,15,
525,1984,1,16,87.81
526,1984,1,17,87.85
527,1984,1,18,87.85
528,1984,1,19,87.87
529,1984,1,20,87.9
530,1984,1,21,
531,1984,1,22,
532,1984,1,23,87.9
533,1984,1,24,87.92
534,1984,1,25,87.95
535,1984,1,26,87.98
536,1984,1,27,87.96
537,1984,1,28,
538,1984,1,29,
539,1984,1,30,88.01
540,1984,1,31,88.01
541,1984,2,1,88.01
542,1984,2,2,88.02
543,1984,2,3,88.05
544,1984,2,4,
545,1984,2,5,
546,1984,2,6,88.08
547,1984,2,7,88.09
548,1984,2,8,88.09
549,1984,2,9,88.1
550,1984,2,10,88.09
551,1984,2,11,
552,1984,2,12,
553,1984,2,13,88.1
554,1984,2,14,88.13
555,1984,2,15,88.15
556,1984,2,16,88.19
557,1984,2,17,88.14
558,1984,2,18,
559,1984,2,19,
560,1984,2,20,88.14
561,1984,2,21,88.16
562,1984,2,22,88.17
563,1984,2,23,88.15
564,1984,2,24,88.18
565,1984,2,25,
566,1984,2,26,
567,1984,2,27,88.18
568,1984,2,28,88.16
569,1984,2,29,88.2
570,1984,3,1,88.18
571,1984,3,2,88.18
572,1984,3,3,
573,1984,3,4,
574,1984,3,5,88.17
575,1984,3,6,88.2
576,1984,3,7,88.21
577,1984,3,8,88.19
578,1984,3,9,88.2
579,1984,3,10,
580,1984,3,11,
581,1984,3,12,88.22
582,1984,3,13,88.19
583,1984,3,14,88.21
584,1984,3,15,88.19
585,1984,3,16,88.19
586,1984,3,17,
587,1984,3,18,
588,1984,3,19,88.2
589,1984,3,20,88.2
590,1984,3,21,88.21
591,1984,3,22,88.21
592,1984,3,23,88.2
593,1984,3,24,
594,1984,3,25,
595,1984,3,26,88.17
596,1984,3,27,88.23
597,1984,3,28,88.18
598,1984,3,29,88.2
599,1984,3,30,88.22
600,1984,3,31,
601,1984,4,1,
602,1984,4,2,88.2
603,1984,4,3,88.21
604,1984,4,4,88.23
605,1984,4,5,88.22
606,1984,4,6,88.2
607,1984,4,7,
608,1984,4,8,
609,1984,4,9,88.18
610,1984,4,10,88.2
611,1984,4,11,88.21
612,1984,4,12,88.32
613,1984,4,13,88.36
614,1984,4,14,
615,1984,4,15,
616,1984,4,16,88.45
617,1984,4,17,88.62
618,1984,4,18,88.71
619,1984,4,19,88.77
620,1984,4,20,
621,1984,4,21,
622,1984,4,22,
