,year,mes,Día,1.Dólar observado
1461,2004,1,1,
1462,2004,1,2,593.8
1463,2004,1,3,
1464,2004,1,4,
1465,2004,1,5,587.69
1466,2004,1,6,579.43
1467,2004,1,7,565.18
1468,2004,1,8,567.83
1469,2004,1,9,568.61
1470,2004,1,10,
1471,2004,1,11,
1472,2004,1,12,560.51
1473,2004,1,13,559.21
1474,2004,1,14,563.65
1475,2004,1,15,572.08
1476,2004,1,16,569.56
1477,2004,1,17,
1478,2004,1,18,
1479,2004,1,19,577.4
1480,2004,1,20,572.69
1481,2004,1,21,567.13
1482,2004,1,22,564.83
1483,2004,1,23,565.76
1484,2004,1,24,
1485,2004,1,25,
1486,2004,1,26,573.19
1487,2004,1,27,578.61
1488,2004,1,28,577.5
1489,2004,1,29,585.03
1490,2004,1,30,596.78
1491,2004,1,31,
1492,2004,2,1,
1493,2004,2,2,591.42
1494,2004,2,3,577.27
1495,2004,2,4,581.18
1496,2004,2,5,587.3
1497,2004,2,6,595.34
1498,2004,2,7,
1499,2004,2,8,
1500,2004,2,9,598.6
1501,2004,2,10,586.96
1502,2004,2,11,583.23
1503,2004,2,12,582.45
1504,2004,2,13,577.01
1505,2004,2,14,
1506,2004,2,15,
1507,2004,2,16,576.4
1508,2004,2,17,579.8
1509,2004,2,18,572.55
1510,2004,2,19,571.35
1511,2004,2,20,581.24
1512,2004,2,21,
1513,2004,2,22,
1514,2004,2,23,585.28
1515,2004,2,24,586.65
1516,2004,2,25,589.75
1517,2004,2,26,588.02
1518,2004,2,27,594.32
1519,2004,2,28,
1520,2004,2,29,
1521,2004,3,1,592.87
1522,2004,3,2,588.04
1523,2004,3,3,590.28
1524,2004,3,4,598.86
1525,2004,3,5,601.38
1526,2004,3,6,
1527,2004,3,7,
1528,2004,3,8,593.22
1529,2004,3,9,593.47
1530,2004,3,10,593.96
1531,2004,3,11,601.1
1532,2004,3,12,600.8
1533,2004,3,13,
1534,2004,3,14,
1535,2004,3,15,601.4
1536,2004,3,16,604.56
1537,2004,3,17,605.71
1538,2004,3,18,607.91
1539,2004,3,19,603.35
1540,2004,3,20,
1541,2004,3,21,
1542,2004,3,22,606.96
1543,2004,3,23,607.64
1544,2004,3,24,610.69
1545,2004,3,25,614.62
1546,2004,3,26,614.51
1547,2004,3,27,
1548,2004,3,28,
1549,2004,3,29,617.15
1550,2004,3,30,618.29
1551,2004,3,31,623.21
1552,2004,4,1,616.41
1553,2004,4,2,610.55
1554,2004,4,3,
1555,2004,4,4,
1556,2004,4,5,609.36
1557,2004,4,6,605.7
1558,2004,4,7,603.91
1559,2004,4,8,606.83
1560,2004,4,9,
1561,2004,4,10,
1562,2004,4,11,
